0100000008	1 Mózes
010101002f	Kezdetben teremté Isten az eget és a földet.
010102007e	A föld pedig kietlen és puszta vala, és setétség vala a mélység színén, és az Isten Lelke lebeg vala a vizek felett.
010103003c	És monda Isten: Legyen világosság: és lőn világosság.
0101040064	És látá Isten, hogy jó a világosság; és elválasztá Isten a világosságot a setétségtől.
0101050080	És nevezé Isten a világosságot nappalnak, és a setétséget nevezé éjszakának: és lőn este és lőn reggel, első nap.
010106005d	És monda Isten: Legyen mennyezet a víz között, a mely elválaszsza a vizeket a vizektől.
0101070089	Teremté tehát Isten a mennyezetet, és elválasztá a mennyezet alatt való vizeket, a mennyezet felett való vizektől. És úgy lőn.
0101080055	És nevezé Isten a mennyezetet égnek: és lőn este, és lőn reggel, második nap.
0101090071	És monda Isten: Gyűljenek egybe az ég alatt való vizek egy helyre, hogy tessék meg a száraz. És úgy lőn.
01010a0073	És nevezé Isten a szárazat földnek; az egybegyűlt vizeket pedig tengernek nevezé. És látá Isten, hogy jó.
01010b00bc	Azután monda Isten: Hajtson a föld gyenge fűvet, maghozó fűvet, gyümölcsfát, a mely gyümölcsöt hozzon az ő neme szerint, a melyben legyen néki magva e földön. És úgy lőn.
01010c00b4	Hajta tehát a föld gyenge fűvet, maghozó fűvet az ő neme szerint, és gyümölcstermő fát, a melynek gyümölcsében mag van az ő neme szerint. És látá Isten, hogy jó.
01010d002c	És lőn este és lőn reggel, harmadik nap.
01010e00c1	És monda Isten: Legyenek világító testek az ég mennyezetén, hogy elválaszszák a nappalt az éjszakától, és legyenek jelek, és meghatározói ünnepeknek, napoknak és esztendőknek.
01010f005d	És legyenek világítókul az ég mennyezetén hogy világítsanak a földre. És úgy lőn.
01011000bc	Teremté tehát Isten a két nagy világító testet: a nagyobbik világító testet, hogy uralkodjék nappal és a kisebbik világító testet, hogy uralkodjék éjjel; és a csillagokat.
0101110051	És helyezteté Isten azokat az ég mennyezetére, hogy világítsanak a földre;
0101120085	És hogy uralkodjanak a nappalon és az éjszakán, és elválaszszák a világosságot a setétségtől. És látá Isten, hogy jó.
010113002c	És lőn este és lőn reggel, negyedik nap.
010114008f	És monda Isten: Pezsdűljenek a vizek élő állatok nyüzsgésétől; és madarak repdessenek a föld felett, az ég mennyezetének színén.
01011500e4	És teremté Isten a nagy vízi állatokat, és mindazokat a csúszó-mászó állatokat, a melyek nyüzsögnek a vizekben az ő nemök szerint, és mindenféle szárnyas repdesőt az ő neme szerint. És látá Isten, hogy jó.
010116008e	És megáldá azokat Isten, mondván: Szaporodjatok, és sokasodjatok, és töltsétek be a tenger vizeit; a madár is sokasodjék a földön.
010117002c	És lőn este és lőn reggel, ötödik nap.
01011800a6	Azután monda az Isten: Hozzon a föld élő állatokat nemök szerint: barmokat, csúszó-mászó állatokat és szárazföldi vadakat nemök szerint. És úgy lőn.
