0100000007	Genèse
010101002f	Au commencement Dieu créa le ciel et la terre.
010102007b	La terre était informe et vide; les ténèbres couvraient l’abîme, et l’Esprit de Dieu se mouvait au-dessus des eaux.
0101030037	Dieu dit: «Que la lumière soit!» et la lumière fut.
0101040058	Et Dieu vit que la lumière était bonne; et Dieu sépara la lumière et les ténèbres.
0101050078	Dieu appela la lumière Jour, et les ténèbres Nuit. Et il y eut un soir, et il y eut un matin; ce fut le premier jour.
0101060067	Dieu dit: «Qu’il y ait un firmament entre les eaux, et qu’il sépare les eaux d’avec les eaux.»
0101070097	Et Dieu fit le firmament, et il sépara les eaux qui sont au-dessous du firmament d’avec les eaux qui sont au-dessus du firmament. Et cela fut ainsi.
010108005f	Dieu appela le firmament Ciel. Et il y eut un soir et il y eut un matin; ce fut le second jour.
0101090081	Dieu dit: «Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse.» Et cela fut ainsi.
01010a005e	Dieu appela le sec Terre, et il appela Mer l’amas des eaux. Et Dieu vit que cela était bon.
01010b00ca	Puis Dieu dit: «Que la terre fasse pousser du gazon, des herbes portant semence, des arbres à fruit produisant, selon leur espèce, du fruit ayant en soi sa semence, sur la terre.» Et cela fut ainsi.
01010c00c0	Et la terre fit sortir du gazon, des herbes portant semence selon leur espèce, et des arbres produisant, selon leur espèce, du fruit ayant en soi sa semence. Et Dieu vit que cela était bon.
01010d0045	Et il y eut un soir, et il y eut un matin; ce fut le troisième jour.
01010e00ba	Dieu dit: «Qu’il y ait des luminaires dans le firmament du ciel pour séparer le jour et la nuit; qu’ils soient des signes, qu’ils marquent les époques, les jours et les années,
01010f0069	et qu’ils servent de luminaires dans le firmament du ciel pour éclairer la terre.» Et cela fut ainsi.
01011000a2	Dieu fit les deux grands luminaires, le plus grand luminaire pour présider au jour, le plus petit luminaire pour présider à la nuit; il fit aussi les étoiles.
0101110042	Dieu les plaça dans le firmament du ciel pour éclairer la terre,
0101120076	pour présider au jour et à la nuit, et pour séparer la lumière et les ténèbres. Et Dieu vit que cela était bon.
0101130045	Et il y eut un soir, et il y eut un matin: ce fut le quatrième jour.
0101140095	Dieu dit: «Que les eaux foisonnent d’une multitude d’êtres vivants, et que les oiseaux volent sur la terre, sur la face du firmament du ciel.»
01011500c7	Et Dieu créa les grands animaux aquatiques, et tout être vivant qui se meut, foisonnant dans les eaux, selon leur espèce, et tout volatile ailé selon son espèce. Et Dieu vit que cela était bon.
010116008f	Et Dieu les bénit, en disant: «Soyez féconds et multipliez, et remplissez les eaux de la mer, et que les oiseaux multiplient sur la terre.»
0101170045	Et il y eut un soir, et il y eut un matin: ce fut le cinquième jour.
01011800b5	Dieu dit: «Que la terre fasse sortir des êtres animés selon leur espèce, des animaux domestiques, des reptiles et des bêtes de la terre selon leur espèce.» Et cela fut ainsi.
01011900b5	Dieu fit les bêtes de la terre selon leur espèce, les animaux domestiques selon leur espèce, et tout ce qui rampe sur la terre selon son espèce. Et Dieu vit que cela était bon.
01011a00f6	Puis Dieu dit: «Faisons l’homme à notre image, selon notre ressemblance, et qu’il domine sur les poissons de la mer, sur les oiseaux du ciel, sur les animaux domestiques et sur toute la terre, et sur les reptiles qui rampent sur la terre.»
01011b0066	Et Dieu créa l’homme à son image; il le créa à l’image de Dieu: il les créa mâle et femelle.
