0100000009	1 Mosebok
010101002a	I begynnelsen skapade Gud Himmel och Jord.
010102005d	Och jorden war öde och tom, och mörker war på djupet, och Guds Ande swäfde öfwer watnet.
010103002d	Och Gud sade: Warde Ljus, och det wardt Ljus.
010104004b	Och Gud såg ljuset, at det war godt. Då skilde Gud ljuset ifrå mörkret.
010105005a	Och kallade ljuset Dag och mörkret Natt. Och wardt af afton och morgon den första dagen.
010106004c	Och Gud sade: Warde et Fäste emellan watnen, och åtskilje watn ifrå watn.
0101070083	Och Gud gjorde fästet, och åtskilde det watnet, som war under fästet, ifrå det watn, som war ofwan fästet. Och det skedde så.
010108004e	Och Gud kallade fästet Himmel. Och wardt af afton och morgon den andra dagen.
010109007e	Och Gud sade: Församle sig watnet, som är under himmelen, uti besynnerliga rum, att det torra må synas. Och det skedde så.
01010a0069	Och Gud kallade det torra Jord, och watnens församlingar kallade han Haf. Och Gud såg, at det war godt.
01010b00c2	Och Gud sade: Bäre jorden gräs och örter, som frö hafwa, och fruktsam trä, at hwart och et bär frukt efter sin art, och hafwer sitt eget frö i sig sjelfwo på jordene. Och det skedde så.
01010c00bb	Och jorden bar gräs och örter, som frö hade, hwart efter sin art, och trä, som frukt båro, och hade sitt eget frö i sig sjelfwo, hwart efter sin art. Och Gud såg, att det war godt.
01010d002f	Och wardt af afton och morgon den tredje dagen.
01010e0073	Och Gud sade: Warde Ljus uti himmelens fäste, och åtskilje dag och natt, och gifwe tekn, månader, dagar och år.
01010f0052	Och ware för ljus uti himmelens fäste, och lyse på jordene. Och det skedde så.
0101100076	Och Gud gjorde tu stor ljus; et stort ljus, som regerade dagen, och et litet ljus, som regerade nattena; och stjernor.
0101110047	Och Gud satte dem uti himmelens fäste, at de skina skulle på jordene:
010112005f	Och regera dagen och nattena, och åtskilja ljuset och mörkret. Och Gud såg, at det war godt.
010113002f	Och wardt af afton och morgon den fjerde dagen.
0101140078	Och Gud sade: Göre watnet af sig kräkande och lefwande djur, och foglar, som på jordene flyga under himmelens fäste.
