0100000006	Genesi
010101002e	NEL principio Iddio creò il cielo e la terra.
0101020092	E la terra era una cosa deserta e vacua; e tenebre [erano] sopra la faccia dell'abisso. E lo Spirito di Dio si moveva sopra la faccia delle acque.
0101030029	E Iddio disse: Sia la luce. E la luce fu.
010104004c	E Iddio vide che la luce [era] buona. E Iddio separò la luce dalle tenebre.
0101050070	E Iddio nominò la luce Giorno, e le tenebre Notte. Così fu sera, e [poi] fu mattina, [che fu] il primo giorno.
0101060056	Poi Iddio disse: Siavi una distesa tra le acque, la quale separi le acque dalle acque.
010107007f	E Iddio fece quella distesa: e separò le acque che [son] disotto alla distesa, da quelle che [son] disopra d'essa. E così fu.
0101080060	E Iddio nominò la distesa Cielo. Così fu sera, e [poi] fu mattina, [che fu] il secondo giorno.
010109007b	Poi Iddio disse: Sieno tutte le acque, [che son] sotto al cielo, raccolte in un luogo, ed apparisca l'asciutto. E così fu.
01010a0064	E Iddio nominò l'asciutto Terra, e la raccolta delle acque Mari. E Iddio vide che [ciò era] buono.
01010b00be	Poi Iddio disse: Produca la terra erba minuta, erbe che facciano seme, ed alberi fruttiferi che portino frutto, secondo le loro specie; il cui seme [sia] in esso, sopra la terra. E così fu.
01010c00c6	La terra adunque produsse erba minuta, erbe che fanno seme, secondo le loro specie, ed alberi che portano frutto, il cui seme [è] in esso, secondo le loro specie. E Iddio vide che [ciò era] buono.
01010d003c	Così fu sera, e [poi] fu mattina, [che fu] il terzo giorno.
01010e00bb	Poi Iddio disse: Sienvi de' luminari nella distesa del cielo, per far distinzione tra il giorno e la notte: e quelli sieno per segni, e per [distinguer] le stagioni e i giorni e gli anni.
01010f005b	E sieno per luminari nella distesa del cielo, per recar la luce in su la terra. E così fu.
0101100096	Iddio adunque fece i due gran luminari (il maggiore per avere il reggimento del giorno, e il minore per avere il reggimento della notte), e le stelle.
010111004a	E Iddio li mise nella distesa del cielo, per recar la luce sopra la terra,
010112007b	e per avere il reggimento del giorno e della notte, e per separar la luce dalle tenebre. E Iddio vide che [ciò era] buono.
010113003d	Così fu sera, e [poi] fu mattina, [che fu] il quarto giorno.
0101140097	Poi Iddio disse: Producano le acque copiosamente rettili, [che sieno] animali viventi; e volino gli uccelli sopra la terra, e per la distesa del cielo.
01011500fe	Iddio adunque creò le grandi balene, ed ogni animal vivente che va serpendo; i quali animali le acque produssero copiosamente, secondo le loro specie; ed ogni [sorta di] uccelli che [hanno] ale, secondo le loro specie. E Iddio vide che [ciò era] buono.
0101160085	E Iddio li benedisse, dicendo: Figliate, moltiplicate, ed empiete le acque ne' mari; moltiplichino parimente gli uccelli sulla terra.
010117003d	Così fu sera, e [poi] fu mattina, [che fu] il quinto giorno.
010118009e	Poi Iddio disse: Produca la terra animali viventi, secondo le loro specie; bestie domestiche, rettili e fiere della terra, secondo le loro specie. E così fu.
01011900d4	Iddio adunque fece le fiere della terra, secondo le loro specie; e gli animali domestici, secondo le loro specie; ed ogni [sorta di] rettili della terra, secondo le loro specie. E Iddio vide che [ciò era] buono.
01011a00fb	Poi Iddio disse: Facciamo l'uomo alla nostra immagine, secondo la nostra somiglianza; ed abbia la signoria sopra i pesci del mare, e sopra gli uccelli del cielo, e sopra le bestie, e sopra tutta la terra, e sopra ogni rettile che serpe sopra la terra.
01011b0071	Iddio adunque creò l'uomo alla sua immagine; egli lo creò all'immagine di Dio; egli li creò maschio e femmina.
01011c00e0	E Iddio li benedisse, e disse loro: Fruttate e moltiplicate, ed empiete la terra, e rendetevela soggetta, e signoreggiate sopra i pesci del mare, e sopra gli uccelli del cielo, e sopra ogni bestia che cammina sopra la terra.
01011d00b9	Oltre a ciò, Iddio disse: Ecco, io vi do tutte l'erbe che producono seme, che son sopra tutta la terra; e tutti gli alberi fruttiferi che fanno seme. [Queste cose] vi saranno per cibo.
01011e00c5	Ma a tutte le bestie della terra, ed a tutti gli uccelli del cielo, ed a tutti gli animali che serpono sopra la terra, ne' quali è anima vivente, [io do] ogni erba verde per mangiarla. E così fu.
01011f0086	E Iddio vide tutto quello ch'egli avea fatto; ed ecco, [era] molto buono. Così fu sera, e [poi] fu mattina, [che fu] il sesto giorno.
0102010047	Così furono compiuti i cieli e la terra, e tutto l'esercito di quelli.
010202009a	Ora, avendo Iddio compiuta nel settimo giorno l'opera sua, la quale egli avea fatta, si riposò nel settimo giorno da ogni sua opera, che egli avea fatta.
0102030091	E Iddio benedisse il settimo giorno, e lo santificò; perciocchè in esso egli s'era riposato da ogni sua opera ch'egli avea creata, per far[la].
010204008d	TALI [furono] le origini del cielo e della terra, quando quelle cose furono create, nel giorno che il Signore Iddio fece la terra e il cielo;
