2800000007	Matteus
2801010062	Jeesus Kristus oli kuningas Daavidin ja Aabrahamin jälkeläinen. Nämä ovat hänen esi-isänsä:
280102005e	Aabraham oli Iisakin isä. Iisak oli Jaakobin isä, Jaakob oli Juudan ja tämän veljien isä.
2801030073	Juuda oli Pereksen ja Serahin isä (heidän äitinsä oli Taamar). Peres oli Hesronin isä. Hesron oli Raamin isä.
280104004f	Raam oli Amminadabin isä. Amminadab oli Nahsonin isä. Nahson oli Salman isä.
2801050079	Salma oli Booaan isä (hänen äitinsä oli Raahab). Booas oli Oobedin isä (hänen äitinsä oli Ruut). Oobed oli Iisain
280106005f	ja Iisai kuningas Daavidin isä. Daavid oli Salomon isä – hänen äitinsä oli Uurian vaimo.
280107004c	Salomo oli Rehabeamin isä. Rehabeam oli Abiamin isä. Abiam oli Aasan isä.
280108004d	Aasa oli Joosafatin isä. Joosafat oli Jooramin isä. Jooram oli Ussian isä.
2801090048	Ussia oli Jootamin isä. Jootam oli Aahaan isä. Aahas oli Hiskian isä.
28010a004b	Hiskia oli Manassen isä. Manasse oli Aamonin isä. Aamon oli Joosian isä.
28010b0076	Joosia oli Jekonjan ja hänen veljiensä isä – pojat syntyivät niihin aikoihin, kun kansa karkotettiin Babyloniin.
28010c004a	Karkotuksen jälkeen Jekonjalle syntyi Sealtiel, Sealtielille Serubbaabel,
28010d003b	Serubbaabelille Abiud, Abiudille Eljakim, Eljakimille Asor,
28010e0031	Asorille Saadok, Saadokille Akim, Akimille Eliud,
28010f003b	Eliudille Eleasar, Eleasarille Mattan, Mattanille Jaakob ja
2801100053	Jaakobille Joosef, joka meni naimisiin Marian, Jeesuksen Kristuksen äidin, kanssa.
2801110099	Aabrahamista Daavidiin on siis neljätoista sukupolvea, Daavidista Babyloniin karkottamiseen toiset neljätoista ja siitä Kristukseen taas neljätoista.
28011200cf	Jeesuksen Kristuksen syntymää edelsivät seuraavat tapahtumat: Jeesuksen äiti Maria oli kihloissa Joosefin kanssa. Mutta kun Maria vielä oli neitsyt, hän alkoi odottaa lasta Pyhän Hengen vaikutuksesta.
28011300a3	Silloin Joosef katsoi, että hänen oli purettava kihlaus, mutta hän ei halunnut häpäistä Mariaa muiden silmissä, vaan päätti erota kaikessa hiljaisuudessa.
28011400ec	Miettiessään asiaa Joosef nukahti. Unessa hän näki enkelin seisovan vieressään. Enkeli sanoi: »Joosef, Daavidin poika, älä epäröi mennä Marian kanssa naimisiin. Hän odottaa lasta, joka on saanut alkunsa Pyhästä Hengestä.
2801150085	Maria saa pojan. Sinun on annettava lapselle nimeksi Jeesus, joka merkitsee pelastajaa, sillä hän pelastaa kansansa sen synneistä.
2801160049	Näin toteutuu Jumalan lupaus, jonka hän antoi profeetan välityksellä:
2801170093	’Kuulkaa! Neitsyt alkaa odottaa lasta! Hän synnyttää pojan, jota sanotaan Immanueliksi.’ Nimi merkitsee:’Jumala on meidän kanssamme’.»
280118005e	Silloin Joosef haki Marian kotiinsa ja otti hänet vaimokseen, niin kuin enkeli oli käskenyt.
280119005e	Maria säilyi kuitenkin neitsyenä lapsen syntymään asti. Joosef antoi pojalle nimen Jeesus.
28020100a4	Jeesus syntyi Juudeassa, Betlehemin kaupungissa, kuningas Herodeksen hallituskaudella. Idästä tuli silloin Jerusalemiin muutamia tähtientutkijoita. He kysyivät:
280202009c	»Missä se äskettäin syntynyt juutalaisten kuningas on? Näimme kaukana idässä hänen tähtensä ja olemme tulleet osoittamaan hänelle kunnioitusta.»
280203005f	Kuningas Herodes hämmästyi kovasti kuullessaan tämän. Huhut alkoivat levitä Jerusalemissa.
2802040077	Herodes kutsui koolle juutalaisten hengelliset johtajat. »Ennustivatko profeetat, missä Messias syntyy?» hän kysyi.
2802050046	»Kyllä, Betlehemissä», he vastasivat. »Profeetta Miika kirjoitti:
2802060093	’Pieni Betlehemin kaupunki, et ole Juudan kaupunkien joukossa ollenkaan vähäpätöinen, sillä sinusta nousee kansani Israelin hallitsija.’»
2802070068	Herodes kutsui tähtientutkijat salaa luokseen ja uteli heiltä tähden ilmestymisen tarkkaa ajankohtaa.
28020800cb	Hän käski miesten lähteä Betlehemiin etsimään lasta. »Kun olette löytäneet hänet, tulkaa kertomaan, missä hän on. Minäkin haluaisin mennä osoittamaan hänelle kunnioitusta», Herodes sanoi.
280209009b	Vieraat lähtivät heti matkaan. Silloin he taas näkivät tähden. Se kulki heidän edellään, kunnes pysähtyi sen paikan yläpuolelle, jossa lapsi oli.
28020a0021	Miesten riemulla ei ollut rajoja!
28020b00cb	He menivät sisälle taloon, jossa lapsi ja hänen äitinsä Maria olivat, ja kumarsivat lapselle kunnioittavasti. Sitten he ottivat esiin Jeesukselle tuomansa lahjat: kultaa, suitsutusainetta ja mirhaa.
28020c00ae	Ennen kuin tähtientutkijat lähtivät kotimatkalle, he saivat unessa Jumalalta varoituksen olla menemättä enää Herodeksen luo. Niinpä he palasivat toista kautta kotiin.
28020d00f9	Heidän lähtönsä jälkeen Herran enkeli ilmestyi unessa Joosefille. »Lähde kiireesti lapsen ja hänen äitinsä kanssa Egyptiin», enkeli sanoi. »Pysy siellä, kunnes käsken sinun palata. Kuningas Herodes yrittää nimittäin tappaa lapsen.»
28020e004d	Joosef heräsi ja lähti heti yöllä Marian ja lapsen kanssa Egyptiä kohti.
28020f007e	Hän asui siellä kuningas Herodeksen kuolemaan asti. Näin toteutui profeetan ennustus: »Olen kutsunut poikani Egyptistä.»
280210014c	Herodes oli raivoissaan, kun tajusi, että idän tähtientutkijat olivat pettäneet hänet. Hän lähetti Betlehemiin sotilaita tappamaan kaupungista ja sen ympäristöstä kaikki kaksivuotiaat ja sitä nuoremmat pojat. Vieraat olivat nimittäin kertoneet hänelle, että tähti oli näkynyt ensi kertaa jo kaksi vuotta aikaisemmin.
2802110042	Herodeksen raa’assa teossa toteutui profeetta Jeremian ennustus:
280212009a	»Tuskan huudot kuuluvat Raamasta: Raakel itkee hillittömästi lapsiaan, eikä kukaan pysty lohduttamaan häntä, sillä hänen lapsensa ovat kuolleet.»
280213006a	Kun Herodes oli kuollut, Herran enkeli ilmestyi unessa Joosefille, joka oli yhä Egyptissä. Enkeli sanoi:
280214007a	»Lähde lapsen ja hänen äitinsä kanssa takaisin Israeliin, sillä ne, jotka yrittivät tappaa lapsen, ovat kuolleet.»
2802150031	Joosef, Maria ja Jeesus palasivat heti Israeliin.
28021600d4	Matkalla Joosef sai kuulla, että Herodeksen poika Arkelaus oli tullut isänsä jälkeen Juudean kuninkaaksi, eikä Joosef sen vuoksi uskaltanut jäädä sinne. Unessa Jumala kehotti häntä menemään Galileaan,
28021700b2	missä hän asettui asumaan Nasaretiin. Näin Messiasta koskevat profeettojen ennustukset toteutuivat jälleen. Jesajahan oli kirjoittanut: »Häntä sanotaan Nasaretilaiseksi».
2803010088	Siihen aikaan kun Jeesus ja hänen kotiväkensä asuivat Nasaretissa, Johannes Kastaja alkoi saarnata Juudean autiomaassa. Hän julisti:
280302004a	»Luopukaa synneistänne, sillä taivaan valtakunta alkaa pian toteutua.»
28030300ad	Jo satoja vuosia aikaisemmin oli profeetta Jesaja ennustanut Johanneksen työstä: »Kuulen autiomaasta äänen:’Kunnostakaa Herralle tie, tasoittakaa hänelle polku.’»
2803040076	Johanneksella oli kamelinkarvoista kudottu puku ja nahkavyö. Hänen ravintonaan olivat heinäsirkat ja luonnonhunaja.
280305007d	Ihmisiä tuli Jerusalemista, kaikkialta Jordanin laaksosta ja eri puolilta Juudeaa autiomaahan kuuntelemaan hänen puhettaan.
2803060041	Kun he tunnustivat syntinsä, Johannes kastoi heidät Jordanissa.
28030700c9	Kun Johannes näki useiden fariseusten ja saddukeusten tulevan kastettaviksi, hän arvosteli heitä ankarasti. »Te käärmeet!» hän sanoi. »Kuka teille on sanonut, että voitte paeta Jumalan vihaa?
2803080058	Kastan teidät vasta sitten, kun tekonne osoittavat, että olette palanneet Jumalan luo.
28030900b3	Älkää luulko olevanne turvassa siksi, että olette juutalaisia, Aabrahamin jälkeläisiä. Se ei todista mitään, sillä Jumala voi vaikka näistä kivistä luoda juutalaisia!
28030a0065	Jumalan tuomion kirves on valmiina kaatamaan jokaisen hedelmättömän puun. Kaadetut puut poltetaan.
