Holy-Bible---Abureni---Abureni-Bible---Standard-Edition.tsv	Abureni Bible	Abureni Bible	Abureni	Abureni	836780
Holy-Bible---Ahirani---Ahirani-Bible---Standard-Edition.tsv	Ahirani Bible	प्रेम संदेश	Ahirani	अहिराणी‎	4617907
Holy-Bible---Ajiya---Ajiya-Bible---Standard-Edition.tsv	Ajiya Bible	Ajigha Bible	Ajiya	Ajiya	505659
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible---Standard-Edition.tsv	Alaba-K’abeena Bible	ሃዕሮ ወኣድ መጻፈ	Alaba-K'abeena	Alaba-K'abeena	1501984
Holy-Bible---Amo---Amo-Bible---Standard-Edition.tsv	Amo Bible	Amo Bible	Amo	Timap	1017502
Holy-Bible---Apal---Apali-Bible---Standard-Edition.tsv	Apali Bible	Asɨ dɨ Manasɨŋ	Apal	Apalɨ	3219591
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Standard-Edition.tsv	Arabic Van Dyck Bible	الكتاب المقدس باللغة العربية، فان دايك	Arabic	العربية	7794911
Holy-Bible---Arabic---New-Arabic-Bible---Standard-Edition.tsv	New Arabic Version	كتاب الحياة	Arabic	العربية	8339839
Holy-Bible---Aramaic---Syriac-Peshitta---Standard-Edition.tsv	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	ܦܫܝܛܬܐ	1120049
Holy-Bible---Arapaho---Arapaho-Luke---Standard-Edition.tsv	Arapaho Luke	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho	Arapaho	164858
Holy-Bible---Armenian---Armenian-Bible-Eastern---Standard-Edition.tsv	Eastern Armenian Bible	Արեւելահայերեն Աստվածաշունչ	Armenian, Eastern	Արեւելահայերեն	1356674
Holy-Bible---Armenian---Armenian-Bible-Western---Standard-Edition.tsv	Western Armenian New Testament 1853	Արեւմտահայերեն Աստվածաշունչ	Armenian, Western	Արեւմտահայերեն	1639610
Holy-Bible---Aruamu---Aruamu-Bible---Standard-Edition.tsv	Aruamu Bible	Godɨn Eghaghanim	Aruamu	Mikarew-Ariaw	6478347
Holy-Bible---Arumanisht---Aromanian-Bible---Standard-Edition.tsv	Aromanian Bible	Biblija tu limba Rrãmãnã	Aromanian	Armãneashti	291546
Holy-Bible---Assamese---Assamese-Bible---Standard-Edition.tsv	Assamese Bible	অসমীয়া বাইবেল	Assamese, Standard	অসমীয়া	10775285
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible---Standard-Edition.tsv	Ayta Ambala Bible	Ayta Ambala Bible	Ayta, Ambala	Ambala Ayta	167980
Holy-Bible---Azerbaijani---Azerbaijani-Bible---Standard-Edition.tsv	Azerbaijani Bible	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani, South	Azeri	4473002
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible---Standard-Edition.tsv	Baga Sitemu Bible	Kitabu ka Kanu	Baga Sitemu	Barka Sitemu	1678320
Holy-Bible---Baiso---Basio-Bible---Standard-Edition.tsv	Baiso Bible	አማቶ ኦኡሱብ	Baiso	Bayso	1484560
Holy-Bible---Bangwinji---Bangwinji-Bible---Standard-Edition.tsv	Bangwinji Bible	Bangwinji Bible	Bangwinji	Bangunji	828092
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible---Standard-Edition.tsv	Palya Bareli Bible	भगवान ना खरला बोल	Bareli, Palya	Bareli, Palya	339078
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible---Standard-Edition.tsv	Basa-Gurmana Bible	Kɔrɔmba	Basa-Gurmana	Kɔrɔmba	146283
Holy-Bible---Basque---Basque-NT---Standard-Edition.tsv	Navarro-Labourdin Basque New Testament	Euskal Biblia	Basque	Euskara	1105964
Holy-Bible---Beami---Bedamuni-Bible---Standard-Edition.tsv	Bedamuni Bible	Gode Ea Sia: Ida:Iwane Gala	Beami	Bedamuni	5265406
Holy-Bible---Beaver---Beaver-Mark---Standard-Edition.tsv	Beaver Mark	Ootech Oochu Takehniya Tinkles St. Mark	Beaver	Dane Zaa	90245
Holy-Bible---Bekwel---Bekwel-Bible---Standard-Edition.tsv	Bekwel Bible	Bekwil Bible	Bekwel	Bekwil	1445213
Holy-Bible---Bengali---Bengali-Bible---Standard-Edition.tsv	Bengali Bible, India	বাংলা বাইবেল, ভারত	Bengali	বাংলা	10220710
Holy-Bible---Bengali---Contemporary---Standard-Edition.tsv	Open Bengali Contemporary Bible	মুক্তভাবে বাংলা সমকালীন সংস্করণের	Bengali	বাংলা	10757303
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible---Standard-Edition.tsv	Bhadrawahi Bible	भड्लाई बाइबिल	Bhadrawahi	भद्रवाही‎	2753436
Holy-Bible---Bhattiyali---Bhattiyali-Bible---Standard-Edition.tsv	Bhattiyali Bible	भटियाली नोआ नियम	Bhattiyali	भटियाली‎	2949522
Holy-Bible---Bhilali---Bhilali-Bible---Standard-Edition.tsv	Bhilali Bible	भगवानेन छाचला बुल	Bhilali	Bhilali	2832695
Holy-Bible---Blackfoot---Matthew---Standard-Edition.tsv	Blackfoot Matthew	Ŏkhs' I Tsĭn Ik Sĭn Ni Matthew Ot Sĭn Ai Pi	Blackfoot	Siksiká	150238
Holy-Bible---Bodo-Parja---BOPO-Bible---Standard-Edition.tsv	Bodo Parja: BOPO Bible	ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌	Bodo Parja	ବଡ଼ ପରଜା	3169567
Holy-Bible---Boga---Boga-Bible---Standard-Edition.tsv	Boga Bible	Boka Bible	Boga	Boka	306187
Holy-Bible---Bondei---Bondei-Bible---Standard-Edition.tsv	Bondei Bible	Bondei Bible	Bondei	Bondei	484706
Holy-Bible---Borna---Borna-Latin-Bible---Standard-Edition.tsv	Borna Bible Latin Version	Handr Taara	Borna	Borni	1055472
Holy-Bible---Breton---Breton-Gospels---Standard-Edition.tsv	Breton Gospels	an Bibl	Breton	Brezhoneg	480049
Holy-Bible---Bu---Bauchi-Bu-Bible---Standard-Edition.tsv	Bu Bauchi Bible	Geji Bauchi Bible	Bu	Geji	230493
Holy-Bible---Bu---Bu-Bible---Standard-Edition.tsv	Bu Bible	Jida Bible	Bu	Jida	883076
Holy-Bible---Bugun---Bugun-Bible---Standard-Edition.tsv	Bugun Bible	Iwo Surua Mua Wie Pha Bible	Bugun	Khowa	1311506
Holy-Bible---Bulgarian---Bulgarian-Bible---Standard-Edition.tsv	Bulgarian Bible	Българска Библия	Bulgarian	Българска	6773126
Holy-Bible---Bwile---Bwile-Bible---Standard-Edition.tsv	Bwile Bible	Bwile Bible	Bwile	Bwile	151933
