0100000006	1 Mose
010101002d	Im Anfang schuf Gott den Himmel und die Erde.
0101020076	Und die Erde war wüst und leer, und es lag Finsternis auf der Tiefe, und der Geist Gottes schwebte über den Wassern.
0101030033	Und Gott sprach: Es werde Licht! Und es ward Licht.
0101040052	Und Gott sah, daß das Licht gut war; da schied Gott das Licht von der Finsternis;
010105006e	und Gott nannte das Licht Tag, und die Finsternis Nacht. Und es ward Abend, und es ward Morgen: der erste Tag.
0101060076	Und Gott sprach: Es soll eine Feste entstehen inmitten der Wasser, die bilde eine Scheidewand zwischen den Gewässern!
0101070070	Und Gott machte die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste, daß es so ward.
0101080058	Und Gott nannte die Feste Himmel. Und es ward Abend, und es ward Morgen: der zweite Tag.
010109007a	Und Gott sprach: Es sammle sich das Wasser unter dem Himmel an einen Ort, daß man das Trockene sehe! Und es geschah also.
01010a006e	Und Gott nannte das Trockene Land; aber die Sammlung der Wasser nannte er Meer. Und Gott sah, daß es gut war.
01010b00d4	Und Gott sprach: Es lasse die Erde grünes Gras sprossen und Gewächs, das Samen trägt, fruchtbare Bäume, deren jeder seine besondere Art Früchte bringt, in welcher ihr Same sei auf Erden! Und es geschah also.
01010c00bc	Und die Erde brachte hervor Gras und Gewächs, das Samen trägt nach seiner Art, und Bäume, welche Früchte bringen, in welchen ihr Same ist nach ihrer Art. Und Gott sah, daß es gut war.
01010d0036	Und es ward Abend, und es ward Morgen: der dritte Tag.
01010e00a0	Und Gott sprach: Es seien Lichter an der Himmelsfeste, zur Unterscheidung von Tag und Nacht, die sollen zur Bestimmung der Zeiten und der Tage und Jahre dienen,
01010f0058	und zu Leuchtern an der Himmelsfeste, daß sie die Erde beleuchten! Und es geschah also.
0101100099	Und Gott machte die zwei großen Lichter, das große Licht zur Beherrschung des Tages und das kleinere Licht zur Beherrschung der Nacht; dazu die Sterne.
0101110048	Und Gott setzte sie an die Himmelsfeste, damit sie die Erde beleuchteten
010112006d	und den Tag und die Nacht beherrschten und Licht und Finsternis unterschieden. Und Gott sah, daß es gut war.
0101130036	Und es ward Abend, und es ward Morgen: der vierte Tag.
0101140093	Und Gott sprach: Das Wasser soll wimmeln von einer Fülle lebendiger Wesen, und es sollen Vögel fliegen über die Erde, an der Himmelsfeste dahin!
01011500bc	Und Gott schuf die großen Fische und alles, was da lebt und webt, wovon das Wasser wimmelt, nach ihren Gattungen, dazu allerlei Vögel nach ihren Gattungen. Und Gott sah, daß es gut war.
0101160088	Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und füllet das Wasser im Meere, und das Geflügel mehre sich auf Erden!
0101170037	Und es ward Abend, und es ward Morgen: der fünfte Tag.
010118008f	Und Gott sprach: Die Erde bringe hervor lebendige Wesen nach ihrer Art, Vieh, Gewürm und Tiere des Feldes nach ihrer Art! Und es geschah also.
0101190070	Und Gott machte die Tiere des Feldes nach ihrer Art und das Vieh nach seiner Art. Und Gott sah, daß es gut war.
01011a00ea	Und Gott sprach: Wir wollen Menschen machen nach unserm Bild uns ähnlich; die sollen herrschen über die Fische im Meer und über die Vögel des Himmels und über das Vieh auf der ganzen Erde, auch über alles, was auf Erden kriecht!
01011b006e	Und Gott schuf den Menschen ihm zum Bilde, zum Bilde Gottes schuf er ihn; männlich und weiblich schuf er sie.
01011c00f4	Und Gott segnete sie und sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und machet sie euch untertan und herrschet über die Fische im Meer und über die Vögel des Himmels und über alles Lebendige, was auf Erden kriecht!
01011d00bb	Und Gott sprach: Siehe, ich habe euch alles Gewächs auf Erden gegeben, das Samen trägt, auch alle Bäume, an welchen Früchte sind, die Samen tragen; sie sollen euch zur Nahrung dienen;
01011e00c5	aber allen Tieren der Erde und allen Vögeln des Himmels und allem, was auf Erden kriecht, allem, was eine lebendige Seele hat, habe ich alles grüne Kraut zur Nahrung gegeben. Und es geschah also.
01011f0080	Und Gott sah an alles, was er gemacht hatte, und siehe, es war sehr gut. Und es ward Abend, und es ward Morgen: der sechste Tag.
010201003c	Also waren Himmel und Erde vollendet samt ihrem ganzen Heer,
0102020097	so daß Gott am siebenten Tage sein Werk vollendet hatte, das er gemacht; und er ruhte am siebenten Tage von allen seinen Werken, die er gemacht hatte.
0102030088	Und Gott segnete den siebenten Tag und heiligte ihn, denn an demselbigen ruhte er von all seinem Werk, das Gott schuf, als er es machte.
0102040064	Dies ist die Entstehung des Himmels und der Erde, zur Zeit, als Gott der HERR Himmel und Erde schuf.
01020500e1	Es war aber noch kein Strauch des Feldes auf Erden, noch irgend ein grünes Kraut auf dem Felde gewachsen; denn Gott der HERR hatte noch nicht regnen lassen auf Erden, und es war kein Mensch vorhanden, um das Land zu bebauen.
010206004f	Aber ein Dunst stieg auf von der Erde und befeuchtete die ganze Erdoberfläche.
0102070096	Da bildete Gott der HERR den Menschen, Staub von der Erde, und blies den Odem des Lebens in seine Nase, und also ward der Mensch eine lebendige Seele.
0102080072	Und Gott der HERR pflanzte einen Garten in Eden gegen Morgen und setzte den Menschen darein, den er gemacht hatte.
01020900c7	Und Gott der HERR ließ allerlei Bäume aus der Erde hervorsprossen, lieblich anzusehen und gut zur Nahrung, und den Baum des Lebens mitten im Garten und den Baum der Erkenntnis des Guten und Bösen.
01020a0075	Und ein Strom ging aus von Eden, zu wässern den Garten; von dort aber teilte er sich und ward zu vier Hauptströmen.
01020b0065	Der erste heißt Pison; das ist der, welcher das ganze Land Chavila umfließt, woselbst das Gold ist;
01020c0064	und das Gold desselbigen Landes ist gut; dort kommt auch das Bedolach vor und der Edelstein Schoham.
01020d0054	Der zweite Strom heißt Gichon; das ist der, welcher das ganze Land Kusch umfließt.
01020e0073	Der dritte Strom heißt Hidekel; das ist der, welcher östlich von Assur fließt. Der vierte Strom ist der Euphrat.
01020f0068	Und Gott der HERR nahm den Menschen und setzte ihn in den Garten Eden, daß er ihn bauete und bewahrete.
010210005f	Und Gott der HERR gebot dem Menschen und sprach: Du sollst essen von allen Bäumen des Gartens;
0102110090	aber von dem Baum der Erkenntnis des Guten und des Bösen sollst du nicht essen; denn welchen Tages du davon issest, mußt du unbedingt sterben!
010212007e	Und Gott der HERR sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Gehilfin machen, die ihm entspricht!
01021300e9	Und Gott der HERR bildete aus Erde alle Tiere des Feldes und alle Vögel des Himmels und brachte sie zu dem Menschen, daß er sähe, wie er sie nennen würde, und damit jedes lebendige Wesen den Namen trage, den der Mensch ihm gäbe.
01021400a0	Da gab der Mensch einem jeglichen Vieh und Vogel und allen Tieren des Feldes Namen; aber für den Menschen fand sich keine Gehilfin, die ihm entsprochen hätte.
01021500a0	Da ließ Gott der HERR einen tiefen Schlaf auf den Menschen fallen; und während er schlief, nahm er eine seiner Rippen und verschloß deren Stelle mit Fleisch.
010216006f	Und Gott der HERR baute aus der Rippe, die er von dem Menschen genommen hatte, ein Weib und brachte sie zu ihm.
0102170098	Da sprach der Mensch: Das ist nun einmal Bein von meinem Bein und Fleisch von meinem Fleisch! Die soll Männin heißen; denn sie ist dem Mann entnommen!
010218007b	Darum wird der Mensch seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, daß sie zu einem Fleische werden.
010219004e	Und sie waren beide nackt, der Mensch und sein Weib, und schämten sich nicht.
01030100bf	Aber die Schlange war listiger als alle Tiere des Feldes, die Gott der HERR gemacht hatte; und sie sprach zum Weibe: Hat Gott wirklich gesagt, ihr dürft nicht essen von jedem Baum im Garten?
010302004f	Da sprach das Weib zur Schlange: Wir essen von der Frucht der Bäume im Garten;
0103030089	aber von der Frucht des Baumes mitten im Garten hat Gott gesagt: Esset nicht davon und rührt sie auch nicht an, damit ihr nicht sterbet!
0103040046	Da sprach die Schlange zum Weibe: Ihr werdet sicherlich nicht sterben!
010305008d	Sondern Gott weiß: welchen Tages ihr davon esset, werden eure Augen aufgetan und ihr werdet sein wie Gott und wissen, was gut und böse ist.
01030600ee	Als nun das Weib sah, daß von dem Baume gut zu essen wäre und daß er eine Lust für die Augen und ein wertvoller Baum wäre, weil er klug machte, da nahm sie von dessen Frucht und aß und gab zugleich auch ihrem Mann davon, und er aß.
0103070090	Da wurden ihrer beider Augen aufgetan, und sie wurden gewahr, daß sie nackt waren; und sie banden Feigenblätter um und machten sich Schürzen.
01030800d0	Und sie hörten die Stimme Gottes, des HERRN, der im Garten wandelte beim Wehen des Abendwindes; und der Mensch und sein Weib versteckten sich vor dem Angesicht Gottes des HERRN hinter die Bäume des Gartens.
010309003a	Da rief Gott der HERR dem Menschen und sprach: Wo bist du?
01030a006d	Er sprach: Ich hörte deine Stimme im Garten und fürchtete mich; denn ich bin nackt, darum verbarg ich mich!
01030b008c	Da sprach er: Wer hat dir gesagt, daß du nackt bist? Hast du etwa von dem Baum gegessen, davon ich dir gebot, du sollest nicht davon essen?
01030c0061	Da sprach der Mensch: Das Weib, das du mir zugesellt hast, die gab mir von dem Baum, und ich aß!
01030d007c	Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib antwortete: Die Schlange verführte mich, daß ich aß!
01030e00cb	Da sprach Gott der HERR zur Schlange: Weil du solches getan hast, so seist du verflucht vor allem Vieh und vor allen Tieren des Feldes! Auf deinem Bauch sollst du kriechen und Erde essen dein Leben lang!
01030f00af	Und ich will Feindschaft setzen zwischen dir und dem Weibe, zwischen deinem Samen und ihrem Samen; derselbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.
01031000d1	Und zum Weibe sprach er: Ich will dir viele Schmerzen durch häufige Empfängnis bereiten; mit Schmerzen sollst du Kinder gebären; und du sollst nach deinem Manne verlangen, er aber soll herrschen über dich!
0103110108	Und zu Adam sprach er: Dieweil du gehorcht hast der Stimme deines Weibes und von dem Baum gegessen, davon ich dir gebot und sprach: «Du sollst nicht davon essen», verflucht sei der Erdboden um deinetwillen, mit Mühe sollst du dich davon nähren dein Leben lang;
0103120053	Dornen und Disteln soll er dir tragen, und du sollst das Gewächs des Feldes essen.
01031300b0	Im Schweiße deines Angesichtes sollst du dein Brot essen, bis daß du wieder zur Erde kehrst, von der du genommen bist; denn du bist Staub und kehrst wieder zum Staub zurück!
010314004a	Und Adam nannte sein Weib Eva; denn sie wurde die Mutter aller Lebendigen.
010315004d	Und Gott der HERR machte Adam und seinem Weibe Pelzröcke und bekleidete sie.
01031600e3	Und Gott der HERR sprach: Siehe, der Mensch ist geworden wie unsereiner, insofern er weiß, was gut und böse ist; nun soll er nicht auch noch seine Hand ausstrecken und vom Baume des Lebens nehmen und essen und ewiglich leben!
0103170072	Deswegen schickte ihn Gott der HERR aus dem Garten Eden, damit er den Erdboden bearbeite, von dem er genommen war.
01031800a4	Und er vertrieb den Menschen und ließ östlich vom Garten Eden die Cherubim lagern mit dem gezückten flammenden Schwert, zu bewahren den Weg zum Baume des Lebens.
010401008b	Und Adam erkannte sein Weib Eva; sie aber empfing und gebar den Kain. Und sie sprach: Ich habe einen Mann bekommen mit der Hilfe des HERRN!
010402005e	Und weiter gebar sie seinen Bruder Abel. Und Abel ward ein Schäfer, Kain aber ein Ackersmann.
010403006e	Es begab sich aber nach Verfluß von Jahren, daß Kain dem HERRN ein Opfer brachte von den Früchten der Erde.
010404005b	Und Abel, auch er brachte [dar] von den Erstgebornen seiner Schafe und von ihren Fettesten.
0104050089	Und der HERR sah an Abel und sein Opfer; aber Kain und sein Opfer sah er gar nicht an. Da ergrimmte Kain sehr und ließ den Kopf hängen.
