0100000018	ഉല്പത്തി
010101006b	ആദിയിൽ ദൈവം ആകാശവും ഭൂമിയും സൃഷ്ടിച്ചു.
01010201a6	ഭൂമി രൂപരഹിതവും ശൂന്യവുമായിരുന്നു; വെള്ളം നിറഞ്ഞ ഭൂതലത്തിന്മേൽ അന്ധകാരം വ്യാപിച്ചിരുന്നു. ദൈവത്തിന്റെ ആത്മാവ് വെള്ളത്തിനുമീതേ വ്യാപരിച്ചുകൊണ്ടിരുന്നു.
010103009e	“പ്രകാശം ഉണ്ടാകട്ടെ,” ദൈവം അരുളിച്ചെയ്തു; പ്രകാശം ഉണ്ടായി.
01010400df	പ്രകാശം നല്ലത് എന്നു ദൈവം കണ്ടു; അവിടന്നു പ്രകാശവും അന്ധകാരവുംതമ്മിൽ വേർതിരിച്ചു;
0101050123	ദൈവം പ്രകാശത്തെ “പകൽ” എന്നും അന്ധകാരത്തെ “രാത്രി” എന്നും വിളിച്ചു. സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—ഒന്നാംദിവസം.
010106014f	“വെള്ളങ്ങളുടെ മധ്യേ ഒരു വിതാനം ഉണ്ടാകട്ടെ,” ദൈവം അരുളിച്ചെയ്തു; “വെള്ളവും വെള്ളവുംതമ്മിൽ വേർപിരിയട്ടെ” എന്നും കൽപ്പിച്ചു.
0101070198	അങ്ങനെ ദൈവം ഒരു വിതാനം ഉണ്ടാക്കി, വിതാനത്തിനു താഴെയുള്ള വെള്ളവും മുകളിലുള്ള വെള്ളവുംതമ്മിൽ വേർതിരിയട്ടെ എന്നു കൽപ്പിച്ചു; അത് അങ്ങനെതന്നെ സംഭവിച്ചു.
01010800d5	വിതാനത്തെ ദൈവം “ആകാശം” എന്നു വിളിച്ചു. സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—രണ്ടാംദിവസം.
0101090146	“ആകാശത്തിനുതാഴെയുള്ള വെള്ളം ഒരു സ്ഥലത്തു കൂടിച്ചേർന്ന് ഉണങ്ങിയ നിലം ഉണ്ടാകട്ടെ,” ദൈവം അരുളിച്ചെയ്തു; അങ്ങനെ സംഭവിച്ചു.
01010a013b	ഉണങ്ങിയ നിലത്തിനു ദൈവം “കര” എന്നും വെള്ളത്തിന്റെ ശേഖരത്തിനു “സമുദ്രം” എന്നും പേരുവിളിച്ചു; നല്ലത് എന്നു ദൈവം കണ്ടു.
01010b01d5	“ഭൂമിയിൽ സസ്യജാലങ്ങൾ മുളയ്ക്കട്ടെ: ഭൂമിയിൽനിന്ന് വിത്തുള്ള സസ്യങ്ങളും അതതുതരം വിത്തുള്ള ഫലം കായ്ക്കുന്ന വൃക്ഷങ്ങളും മുളച്ചുവരട്ടെ,” ദൈവം അരുളിച്ചെയ്തു; അങ്ങനെ സംഭവിച്ചു.
01010c014a	ഭൂമി അതതുതരം വിത്തുള്ള സസ്യജാലങ്ങളും അതതുതരം വിത്തുള്ള ഫലം കായ്ക്കുന്ന വൃക്ഷങ്ങളും മുളപ്പിച്ചു. നല്ലത് എന്നു ദൈവം കണ്ടു.
01010d006f	സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—മൂന്നാംദിവസം.
01010e01cb	“പകലും രാത്രിയുംതമ്മിൽ വേർതിരിക്കാൻ ആകാശവിതാനത്തിൽ പ്രകാശങ്ങൾ ഉണ്ടാകട്ടെ; ഋതുക്കൾ, ദിവസങ്ങൾ, സംവത്സരങ്ങൾ എന്നിവയെ തിരിച്ചറിയാനുള്ള ചിഹ്നങ്ങളായി ആ പ്രകാശങ്ങൾ മാറട്ടെ;
01010f012e	ഭൂമിയെ പ്രകാശിപ്പിക്കാൻ ആകാശവിതാനത്തിൽ അവ പ്രകാശസ്രോതസ്സുകളായിരിക്കട്ടെ,” ദൈവം കൽപ്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
