0100000008	Kejadian
010101005d	Pada permulaan segala sesuatu, Allah menciptakan tingkat-tingkat surga dan langit serta bumi.
010102008d	Waktu itu, bumi belum berbentuk dan kosong. Bumi gelap gulita dan digenangi air yang sangat dalam. Roh Allah hadir di atas permukaan air itu.
010103003d	Berkatalah Allah, “Jadilah terang!” Maka terang itu jadi.
010104004f	Allah melihat bahwa terang itu baik, maka Dia memisahkan terang dari kegelapan.
0101050077	Allah menyebut terang itu ‘siang’ dan kegelapan itu ‘malam’. Hari pertama berakhir ketika petang menjadi malam.
0101060088	Pada pagi berikutnya, berkatalah Allah, “Hendaklah ada ruang kosong untuk memisahkan air yang di bumi dengan air yang di atas bumi.”
0101070016	Maka jadilah demikian.
010108005e	Allah menyebut ruang kosong itu ‘langit’. Hari kedua berakhir ketika petang menjadi malam.
01010900a8	Pada pagi berikutnya, berkatalah Allah, “Hendaklah air yang ada di bawah langit berkumpul di satu tempat, supaya tanah kering bisa terlihat.” Maka jadilah demikian.
01010a0073	Allah menyebut tanah kering itu ‘darat’ dan kumpulan air itu ‘laut’. Allah melihat bahwa semuanya itu baik.
01010b0120	Kemudian Allah berkata, “Hendaklah tanah mengeluarkan berbagai jenis tumbuhan, termasuk yang menghasilkan biji-bijian dan berbagai jenis pohon yang buahnya berbiji. Hendaklah tiap jenis biji itu nanti menghasilkan tumbuhan atau pohon yang sama sesuai jenisnya.” Maka jadilah demikian.
01010c00f7	Tanah menumbuhkan segala jenis tumbuhan, termasuk yang menghasilkan biji-bijian dan berbagai jenis pohon yang buahnya berbiji. Dan setiap jenis biji selalu menghasilkan tumbuhan atau pohon yang sama jenisnya. Allah melihat bahwa semuanya itu baik.
01010d0031	Hari ketiga berakhir ketika petang menjadi malam.
01010e011a	Pada pagi berikutnya, berkatalah Allah, “Hendaklah ada berbagai benda penerang di langit supaya sinarnya terpancar ke bumi. Biarlah benda-benda itu menunjukkan perbedaan antara siang dan malam, serta menjadi tanda untuk menentukan hari, tahun, dan musim.” Maka jadilah demikian.
01011000b0	Allah membuat dua benda penerang yang besar. Yang lebih besar bersinar pada siang hari, dan yang lebih kecil bersinar pada malam hari. Allah juga membuat banyak sekali bintang.
010111003e	Allah mengatur benda-benda itu di langit untuk menerangi bumi,
0101120073	untuk bersinar pada siang dan malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa semuanya itu baik.
0101130032	Hari keempat berakhir ketika petang menjadi malam.
01011400d1	Pada pagi berikutnya, berkatalah Allah, “Hendaklah air dipenuhi dengan berbagai jenis makhluk hidup yang berenang, dan langit dipenuhi dengan berbagai jenis burung yang beterbangan di atas permukaan bumi.”
01011500d4	Lalu Allah menciptakan berbagai jenis binatang laut yang besar dan segala jenis makhluk yang bergerak di dalam air. Dia juga menciptakan segala jenis binatang yang bersayap. Allah melihat bahwa semuanya itu baik.
01011600d5	Lalu Allah memberkati semua makhluk hidup itu, kata-Nya, “Hendaklah segala makhluk yang hidup di laut berkembang biak dan memenuhi lautan. Dan segala binatang yang bersayap hendaklah bertambah banyak di bumi.”
0101170031	Hari kelima berakhir ketika petang menjadi malam.
010118018b	Pada pagi berikutnya, berkatalah Allah, “Hendaklah ada berbagai jenis makhluk hidup di bumi, termasuk hewan ternak, binatang liar, binatang melata, dan binatang yang merayap di atas permukaan tanah.” Maka Allah menjadikan segala binatang itu, yaitu hewan ternak, binatang liar, binatang melata, dan binatang yang merayap, sesuai jenisnya masing-masing. Allah melihat bahwa semuanya itu baik.
01011a00f4	Kemudian Allah berkata, “Marilah Kita menciptakan manusia supaya menyerupai Kita dan mencerminkan sifat-sifat Kita. Mereka akan berkuasa atas seluruh bumi, yaitu atas segala jenis ikan, burung, hewan ternak, binatang liar, bahkan serangga.”
01011b0068	Maka Allah menciptakan manusia supaya menyerupai Dia. Allah menciptakan mereka, laki-laki dan perempuan.
01011c00d2	Kemudian Allah memberkati mereka, “Beranakcuculah hingga kalian menjadi banyak. Penuhilah seluruh bumi dan berkuasalah atasnya. Hendaklah kalian berkuasa atas semua binatang di laut, di udara, dan di bumi.”
01011d00cf	Berkatalah Allah kepada manusia itu, “Dengarlah! Aku memberikan kepada kalian segala tumbuhan yang menghasilkan biji-bijian dan semua pohon yang buahnya berbiji. Semua itu akan menjadi makanan bagi kalian.
01011e008f	Tetapi untuk semua jenis binatang, burung, dan serangga, Aku memberikan segala tumbuhan hijau sebagai makanan mereka.” Maka jadilah demikian.
01011f007c	Allah melihat bahwa semua yang sudah diciptakan-Nya itu sungguh amat baik. Hari keenam berakhir ketika petang menjadi malam.
0102010065	Pada pagi berikutnya, selesailah penciptaan segala sesuatu yang ada di surga, di langit, dan di bumi.
0102020065	Jadi, pada hari ketujuh, karena Allah sudah selesai menciptakan segala sesuatu, Dia berhenti bekerja.
010203009d	Lalu Allah memberkati hari ketujuh dan menetapkannya sebagai hari yang kudus, sebab pada hari ketujuh itulah Dia berhenti setelah menciptakan segala sesuatu.
010204005c	Beginilah yang terjadi pada waktu TUHAN Allah baru saja menciptakan surga, langit, dan bumi:
01020500bc	Pada awalnya, belum ada tumbuhan apa pun yang tumbuh karena TUHAN belum menurunkan hujan ke atas permukaan bumi. Lagipula belum ada orang yang mengerjakan tanah itu dan menanam di atasnya.
0102060064	Akan tetapi, banyak mata air meluap dari dalam tanah sehingga seluruh permukaan tanah menjadi basah.
01020700c5	Lalu TUHAN Allah mengambil sedikit tanah dan membentuknya menjadi seorang manusia. Dia meniupkan nafas kehidupan ke dalam lubang hidung manusia itu, sehingga manusia itu menjadi makhluk yang hidup.
01020800b5	Sebelumnya TUHAN Allah sudah membuat sebuah taman yang terletak di sebelah timur, di daerah yang bernama Eden. Di taman inilah Dia menempatkan manusia yang sudah diciptakan-Nya itu.
010209014b	Kemudian TUHAN menumbuhkan segala jenis pohon yang indah dan yang menghasilkan buah yang lezat. Di tengah taman itu, Dia juga menempatkan dua pohon: Yang pertama adalah pohon yang buahnya mampu memberikan hidup selamanya. Yang kedua adalah pohon yang buahnya mampu memberi pengetahuan untuk membedakan hal yang baik dan yang buruk.
01020a0094	Taman itu diairi oleh sebuah sungai besar yang hulunya bersumber dari Eden. Begitu keluar dari Eden, sungai itu bercabang menjadi empat anak sungai.
01020b0076	Yang pertama disebut Pison. Itulah sungai yang mengalir melalui sepanjang daerah Hawila. Di sana terdapat banyak emas.
01020c0083	Emas di Hawila sangat murni, dan di situ terdapat juga wangi-wangian dari getah tumbuhan dan batu-batu permata yang berwarna-warni.
01020d0049	Sungai yang kedua disebut Gihon. Sungai itu mengalir sepanjang tanah Kus.
01020e0075	Sungai yang ketiga disebut Tigris. Sungai itu mengalir di sebelah timur Asyur. Dan sungai yang keempat disebut Efrat.
01020f0067	TUHAN Allah mengambil dan menempatkan manusia di dalam Taman Eden untuk merawat dan mengurus taman itu.
010210006b	TUHAN berkata kepadanya, “Aku mengizinkan kamu untuk makan buah dari setiap pohon di taman ini sepuasnya.
01021100ee	Hanya satu yang tidak boleh dimakan, yaitu buah dari pohon yang mampu memberikan pengetahuan untuk membedakan hal yang baik dan yang buruk. Janganlah kamu makan buah itu. Karena jika kamu memakannya, kamu pasti mati pada hari itu juga!”
010212008e	Kemudian TUHAN Allah berkata, “Tidak baik kalau laki-laki ini hanya sendirian. Aku akan menjadikan seorang pendamping yang cocok baginya.”
01021300e4	Sebelum itu, TUHAN sudah menjadikan semua jenis binatang dan burung dari bahan tanah. Setiap jenis binatang dan burung ditunjukkan kepada laki-laki itu supaya diberi nama olehnya. Demikianlah asal mula nama semua jenis binatang.
01021400b9	Laki-laki itu memberi nama kepada setiap jenis hewan, binatang liar, dan burung. Tetapi di antara semua makhluk itu, dia tidak menemukan satu pun yang cocok untuk menjadi pendampingnya.
010215009c	Maka TUHAN membuat laki-laki itu tertidur sangat nyenyak. Saat itulah TUHAN mengambil salah satu tulang rusuknya dan menutup kembali bekasnya dengan daging.
010216007c	TUHAN Allah menjadikan seorang perempuan dari tulang rusuk yang sudah diambil-Nya, kemudian membawanya kepada laki-laki itu.
01021700b7	Maka laki-laki itu berkata, “Inilah dia yang cocok bagiku! Tulangnya dari tulangku, dan dagingnya dari dagingku! Aku akan menyebut dia ‘perempuan’, karena dia diambil dariku.”
