2800000005	Matai
280101003d	Ikhitabu eikya khikolo eikya Yeisu Klisiti mwana va Ibrahimu.
2801020067	U Ibrahimu ale vise va Isakha, nu Isakha ale vise va Yakobo, nu Yakobo ale vise va Yuda nu vukolo vake.
2801030061	UYuta ale vise va Pelesi nu Sera khwa Tamali, uPelesi vise va Hezeloni, nu Hezeloni vise va Ramu.
2801040055	U Ramu ale vise va Aminadabu, Aminadabu vise va Nashoni, nu Nashoni vise va Salimoni.
280105005c	U Salimoni vise va Boazi khwa Rahabu, u Boazi vise va Obedi khwa Luti, u Obedi vise va Yese,
280106004e	u Yese ale vise vantwa u Daudi. U Daudi ale vise va Sulemani khu dala va Uria.
280107004d	U Sulemani ale vise va Rehoboamu, Rehoboamu vise va Abiya, Abiya vise va Asa.
2801080052	U Asa ale vise va Yehoshafati, Yehoshafati vise va Yoramu, nu Yoramu vise va Uzia.
280109004b	U Uzia ale vise va Yothamu, u Yothamu vise va Ahazi, Ahazi vise va Hezekia.
28010a004c	U Hezekia ale vise va Manase, u Manase vise va Amoni nu Amoni vise va Yosia.
28010b004f	U Yosia vise va Yekonia na vavahave useikhi ugwa khutoliwa ukhuluta khu Babeli.
28010c006a	Va vile vatoliwe ukhuluta khu Babeli, u Yekonia ale visa va Shatieli, Shatieli ale khukhuye va Zerubabeli.
28010d0055	U Zerubabeli ale vise va Abiudi, Abiudi u vise va Eliakimu, u Eliakimu vise va Azori.
28010e0047	Azori vise va Zadoki, nu Zadoki vise va Akimu, nu Akimu vise va Eliudi.
28010f004f	U Eliudi ale vise va Elieza, nu Elieza vise va Matani nu Matani vise va Yakobo.
280110005d	UYakobo vise va Yosefu ugosi va Maliya uvi umwene UYesu aholiwe, uveikhilangiwa vei Kilisite.
2801110105	Ifivumbukhu fyooni ukhuhuma khwa Ibrahimu impakha khwa Daudi fyale ifivumbukhu kumi ni fine, ukihuhuma khwa Davidi impakha ukhutoliwa ukhuluta khu Babeli ifivu mbukhu kumi ni fine nu khutoliwa ukhuhuma khu Bababeli impakha kwa kilisite ifivumbukhu kumi ni fine.
28011200b7	Ukhuholiwa khwa Yeisu khwale nde. Umamaye, UMaliya, UYosefu, vu ahilikhe eindanda sakha, vuva khamale ukhutolana pu UMaliya akhavonekha ukhuta aleinonehigo mumakha ga mepo umbalanche.
2801130094	Ugosi va mwene u Yosefu ale munu golofu sanogwe ukhukoncha isoni pa vanu. Pu akhalamula ukhundekha u ng'eincha va mwene khuvutitu avanu khitaluanya.
28011400d1	Pu avile isaga ndavule usuhwa Vantwa akhambonekhela mu njosi, akhata, “Yosefu mwana va Daudi, ulekhe ukhudwaada ukhutola uMaliyamu ndu dala vakho, ulwa khuva unchigo ugwaleinagwo gwa makha gamepo umbalanche.
280115006a	Puyaihola umwana udeemi puyavukhupa eitawa lya mwene vei Yesu, ulwa khuva ayikuvapo kha avanu va mwene.”
280116005e	Aga gooni gahumile ukhuvonesya khila eikhikhyanchoviwe nu Ntwa ukhugendela munya malago vuita,
28011700af	“Lola, ung'enja uvisagonile nu gosi lusikhu pu iva nu chigo nu khuhola umwana udeemi, puvikhumwilangaga eilitawa lya mwene Imanueli”— khukhuta uNguluve paninie nufwe.”
2801180069	U Yosefu akhasisimukha mutulu nukhugaha nduvu usuhwa va Nguluve ambulile ukhuta atole ave idala va mwene.
2801190064	Pu leino sa gone nave impakha avile aholile umwana udeemi pu akhamwilanga eitawa lya mwene vei Yesu.
28020100a9	U Yesu avile aholiwe mu Bethelehemu ya vayuta mufigono fya Nkuludeva u Herode, avanu avamanyi va nondwe ukhuhuma khuvuhumo wa linchuva vakhafikha khu Yerusalemu vakhata,
2802020093	“Aleindakhu umwene uviaholiwe unkuludeva vava yuta? Tuvye tuyeiwene einondwe ya mwene khuvuhumo wa linchuva nufwe pu twinchile khukhumwimikha.”
2802030067	Useikhi ugu unkuludeva u Helode aviile apulikhe akhakalala, na yei Yelusalemu yooni paninie na yumwene.
280204007a	U Helode akhavalundania avavaha vava tekhenchi vooni na visimbi va vanu, pu akhavuncha, “U Klisiti ayoiholiwa ndakhu?”
280205004d	Vakhambula, “Mu Bethelehemu yava yuta, ulwa khuva vuyisimbiwe nu nyamalago.
28020600aa	Nuve Bethelehemu, mukhilunga eikya va yuta suleideebe muvalongonchi vava Yuta, pakhuva ukhuhuma khulyuve ikhwincha umbaha uviyakhiva ikhuvadeemaga avanu vango Israeli.”
280207007d	Pu leino u Helode akhaviilanga avamanyi va nondwe khuvutitu akhavavuncha gyu seikhi guleikhu ugu einondwe yeivile yeivonikhe.
28020800a7	Akhavasuha khu Bethelehemu, akhata, “Mlutage einjila eiyie mkhavunche fincho umwana uvyaholiwe. Pu mungambone mwinche mumbule ukhuta nayune puninche neimwimeekhe.”
28020900c0	Puvavile vapuleihinche unkuludeva puva khava vanu va khuluta, pu einondwe yeila uyuvakhayiwene khuvuhumo wa linchuva yeikhavalongolela impakha upu ya eimile pala upu umwana uvyaholiwe upu ale.
28020a0030	Useikhi uguvayiewene einondwe va howikhe fincho.
28020b00b4	Vakhingeila munyumba puvakhambona umwana nu mamaye u Mariamu. Vakhamwinamila nukhumwimekha, vakhavopola ifipakho fyavo vakhambonola uluvonolo ulwa lutalama, uvufumba ni mono inonu.
28020c007e	U Nguluve akhavavula munjosi valekhe ukhukilivukha khwa Helode, puvakhahega ukhuluta khumyavoyo puvakhagenda einjila eiyeinge.
28020d00e3	Puva viile vahegile, usuhwa vantwa akhambonekhela u Yosefu munjosi nu khuta, “Wime, utole umwana nu mamaye pumunyileile khu Misiri. Muve khukhukhwa impakha yakhiva nikhuvavula ulwa khuva u Helode ilonda ukhwangamencha umwana.
28020e005c	Ikilo eiyo pu u Yosefu akhasisimukha nukhutola umwana nu mamaye pu vakhanyileila khu Misili.
28020f00a6	Atamile ukhu impakha u Helode avile afwile. Eiyie puyiekhavombekha nduvu uNtwa anchovile ukhugendela khu nyamalago, “Ukhuhuma khu Misili ni mwilangile u manango.”
2802100137	Pu u Helode aviile awene akalaliwe na vanu avamanyi va vanu avamanyi va nondwe avipile fincho. Pu akhalageila ukhubudiwa avana vooni avadeemi avu vaale mu Bethelehemu na vooni avuvale nkilunga khila avanya miakha givili na pasi pa miakha eigyo ukhukongana nu seikhi ugu amalile ukhulumanya khuvamanyi va nondwe.
280211005d	Leino pulikha leikwilanile eilimenyu leila eileilyanchoviwe nu ndomo gwa nyamalago u Yelemia,
28021200a5	“Eingolo ya puleikhikhe khu Ramah, eikhileilo nu lyoveelo uluvaha, u Raheli wikhuva leileila avana va mwene pu akhabeela ukhunchesiwa ulwa khuva vasipali hange.”
2802130065	U Helode avile afwile, lola usuhwa va Ntwa akhambonekhela u Yosefu mu njosi ukhu khu Misili nu khuta,
2802140079	“Wime utole umwana nu vanina pu mlutage mukhilunga eikya mu Israeli ulwa khuva avakhalondaga uwumi wa mwana vafwile.”
2802150052	U Yosefu akhima akhatola umwana na vanina puvakhincha mukhilunga ikhya mu Israeli.
28021600ea	Puleino aviile apulikhe ukhuta u Arikelau ale mbaha va valongonchi khuva Yuta ahalile pa vise va mwene u Helode, adwaadile fincho ukhuluta ukhwa. Pu uNguluve avile ambulaninche munjosi akhahega ukhuluta khukhilunga eikhya khu Galilaya
28021700a4	pu akhaluta khutama mumbunchege uwa khu Nazareti. Pu ukhuta leivombekhe eilimenyu leila eili lyamalile ukhunchoviwa navanyamalago ukhuta ayikhelangiwagwa Mnazareti.
280301004f	Pu mufigono fila u Yohana uveiaonchaga aleikhulumbelila munyikha incha va Yuta,
2803020043	“Mpelage inongwa ulwa khuva uludeeva lwa khukyanya lu leipipi.”
28030300a7	Ulwa khuva uyu vei mwene anchoviwe nu nyamalago u Isaya aleikhuta, “Ngolo ya munu uvei alei ndukungu, munonchage einjeila ya Ntwa, mgolosyage umwa khuluta umwene.”
2803040097	Leino u Yohana aafwalile amanchwa ga ngamia nu lukata lwa ngwembe mukhi vina khya mwene. Eikhya khulya khya mwene khyale imanji nu wuukhe uwa mumisitu.
2803050074	Pu ei Yelusalemu, ni Yuta yooni ni khilunga khyoni eikhinchungula ulugasi ulwa Yolodani pu valei khunduteila umwene.
280306004f	Puvaleikhyonchiwa nu mwene mundugasi ulwa Yolodani khunu vipela inogwa nchaavo.
28030700d8	Puleino avile avawene ava falisayo na vasadukayo valeikhwincha khumwene khukhyonchiwa akhava vula akhata, “Umwe mwiva khivumbukhu khya njokha veeni uvei ava vuulile umwe ukhukimbela uluviipo uluyakhiva lwikhwincha?
280308002d	Muvoniage eisekhe inchino gelanile nu vupeli.
28030900a5	Pu mulekhe avange ndyumwe ukhusaga nu khwincho fanja, 'Tuleinave u Ibrahimu ndu daada yeito.' Ulwa khuva u Nguluve avahile ukhumwimekhila umwana ukhuhuma mumawe aga.
28030a008e	Einjunu puyeimalile ukhuveikhiwa mfikolo fya mabeikhi. Puleino khila beikhi ugu sagu houpa isekhe inonu pu gugeidiwaga nukhu laheila mu mwoto.
28030b00dc	Pu une nikhuvoncha na magasi savuli ya khupela. Pu leino umwene uveikhwincha musana ndyune vei mbaha ukhunduteiila une, na yune saneinogile ukhugega ifilato fya mwene. Pu umwene ikhuvonchaga khu mepo umbalanche nu mwoto.
28030c00b9	Uvie umwene ulupeetelo luleimavokho nu mwene pwi nonchaga fincho eikhyaalo khya mwene nukhulundania einganu mukhibaana khya mwene. Pu leino amapuna pwi nyanyaga mu mwoto ugusagwinchima.
28030d0061	Pu u Yesu akhincha ukhuhuma khu Galilaya impakha khulugasi ulwa Yolodani khukhyonchiwa nu Yohana.
28030e0074	Puleino u Yohana aleikhunogwa ukhu beencha aleikhuta, “Une ninogwa ukhyonchiwa nuve, uve puvukhwincha khulyune?”
28030f007c	U Yesu akha mwanda akhata, “Weideekhe ulu leino ulwa khuva yeilondiwa ukhutekhelesya eilweli yooni.'” Pu akhamweideekha.
28031000dc	Pu aviile amalile ukhyonchiwa, pu u Yesu akhahuma mumagasi, pu u Yesu akhahuma mumagasi, pu nilola ikyanya nchikhade indukha. Pu akhambona umepo va Nguluve vu ikhwincha ndei khihwani khya ngundya pukhikhalitama pa mwene.
2803110066	Lola, eingolo eikhahuma khukyanya eiyiita, “Uyu vei manango ugane, uveinihovokha fincho nu mwene.”
2804010055	Pu leino u Yesu akhalongonjwa nu Mepo impakha khu lukungu ukhuta ageliwe nu tavangwa.
2804020051	Pu akhideenda ukhulya isikhu alubaini pamusi na pakilo, pu akhipuleikha einchala.
2804030074	Pu leino ugeli akhincha pwakhambula akhata, “Unave uve ulie mwana va Nguluve gavale amaganga aga gave fisyesye.”
2804040080	Pu Yesu akhamwamula akhata, “Yeisimbiwe u munu sayitamaga ni khisyesye khyeene khisita limenyu eilihuma mndomo gwa Nguluve.”
2804050063	Pu utavangwa akhangileikha muvunchenge uvuvalanche pu akhambeikha patembile baho pa hungile fincho,
28040600d1	pu akhambula akhata, “Ungave uve uleimwana va Nguluve, weilaheile pasi ulwa khuva yeisimbiwe ikhuvavula avasuhwa vamwene vikhu khyupeila mumavokho ga va veene, ulekhe ukhukuvala eikhilunde khyakho muliwe.”
2804070052	U Yesu akhambula akhata, “Yeisimbiwe, 'Ulekhe ukhugela uNtwa vakho u Nguluve.”
2804080099	Pu leino, utavangwa akhaatola nu khumbeikha baho pahangile ukhuluteilila fincho pu akhambonesya uvukuludeeva wooni uwa kilunga nuvunonu wa incho nchooni.
280409006a	Pu akhambula akhata, “Punikhukhupa eikhyuma khyooni ikhi ungave vukhunyimikhaga nu khwisuya khulyune.”
28040a008f	Pu uYesu akhambula akhata, “Lutaga uhege apa, veitavangwa pakhuva yeisimbiwe umwimikhage uNtwa uNguluve vankho nukhumbombela umwene mwene.”
28040b0044	Pu utavangwa akhandekha, pu lola avasuhwa vakhincha vakhambombelela.
28040c0053	Pu uYesu avile apulikhe ukhuta uYohana va mwibite akhahega nu khuluta khu Galilaya.
28040d0091	Akhahega khu Nazareti pwa khaluta khutama khu Kaperanaumu, eiyileikhunji mnyanja ya Galilaya, ukhupakhana ni khilunga eikhya Zabuloni nu Naftali.
28040e0046	Eiyi yahumile ewo ukhuvonesya eikhyukhyanchoviwe nu nyamalago u Isaya,
28040f0075	“Mu mbunchenge uwa Zabuloni nu vunchenge wa Naftali, ukhulonha khunyanja eimwambo ya Yolodani, Galilaya ya vapanji!
2804100076	Avanu avatamile muhisi valuwene ulumuli uluvaha, na vala ava vatamile muhisi ya vufwe mumbeene ulumuli luvamulikhe.”
2804110076	Ukhuhuma apo u Yeu akhatengula ukhulumbeileila nukhuta, “Mpelage imbivi pakhuva uludeeva ulwa khukyanya lulipipi.”
28041200c4	Avile igenda mundukanji mwanyanja ya Galilaya, akhavavona avana munu vaveili, u Simoni uvie ailangiwagwa Petro, nu Andreya umbahave, valie khutega inyaafu munyanja ulwa khuva vale valovi va somba.
280413004f	U Yesu akhavavula, “Mwinchage mang'ongage, punikhuvaveikha valovi va vanu.”
2804140035	Khimbeivimbeivi vakhanchilekha inyaafu pu vakhakonga.
28041500b8	Nu Yesu akhaluta pakhimbale akhavavona avana munu vaveili, u Yakobo umwana va Zebedayo, nu Yohana umbahave, vaale muwaato nu Zebedayo u vise vavo vahonaga inyaafu nchaavo akhavielanga,
280416004d	akhaseikhi ndakhuleikhu vakhavulekha uwato paninie nayu vise vavo vakhakonga.
28041700b9	Pu uYesu agendile mu Galilaya pakhasigala padebe ukhumala yooni, pwaleikhu manyisya mumasinagogi gaavo nukhulumbeileila eilivangeili lya ludeva nu khuponia uvutamu uvulipapingi mumbano.
28041800d1	Pu ikhulongu ncha mwene chikha vaala mu Siria mwoni, pu avanu vakhincha vooni avuvale nuvutam uvalipapingi uvu wa pelaga uluvavo, uvavale ni mepo imbivi na vanyaligonchi na vavo vafwile eiganji emiveili gyavo.
2804190089	Ni fipuga fingi ifya vanu filikhukonga ukhuhuma khu Galilaya na khudekapuli mu Yelusalemu na mbu Yuta nu khuhuma eimwambo ya mu Yolodani.
2805010073	Navope aviile avawene ifipugu fya vanu akhatoga khukhyamba. Pu avile amalile ukhulama, avakongi va mwene vakhincha.
2805020042	Pwakha deendula undomo gwa mwene akhanja ukhuvamanyisya, nu khuta,
2805030045	“Huba vala avaganchu va numbula manya uluudeva lwa khukyanya lwavo.
2805040032	Huba avanya lususuvalo, manya avo yaviachesiwagwa.
2805050033	Huba avanyakhisa, manya avo vala khihala ikhilunga.
2805060044	Huba avanya njala ni khyumilwa ikhya yeilweli, manya avo valigutaga.
2805070039	Huba vula avanya lusyikhilo manya avo valasyeikhiliwagwa.
280508003a	Huba avanya numbula inonu manya avo yavikhumbona uNguluve.
280509003d	Huba avavisayania, manya avo vikhilangiwagwa vana va Nguluve.
28050a004d	Huba avaviveipeiliwa savuli ya vuyeilweli manya uludeeva lwa khukyanya lwavo.
28050b006a	Huba umwe yumwe avanu yavikhuvadukhaga nukhuvapa uluvungu nukhuva uvuvivi umwe nukhuvadelela savuli yango.
28050c009a	Muhovokhage nukhulu lutila, manya ulutalama lwinyo luvaha khukyanya ulwa khuva vuyeilievyo avanu vava vungaga avanya malago avuvalekhyo umwe vu mukhanale.
28050d00eb	Umwe mulei mwoyo gwa khilunga. Pu einave umwinyo guyanchinche uvunonu wa gwene, pu yiva ndakhikhi ukhuta yuve nonu khange? Pu nalusikhu sagwiva nonu khu khinu eikhinge khyukhyoni, puleino pugwiva gwa khutaga khunji nukhukadiwa na vanu.
28050e0056	Umwe muleilumuli lwa khilunga. Uvunchege uwuvunchengiwa pakyanya pakhyamba savufihama.
28050f0083	Na vavanu saviwasya einyali nu khuveikha pasi pakhisanja, pu vi veikha pavuhagufu, puyikhuva muleikhaga voni avahei mgati munyumba.
28051000a3	Pumululekhe ulumuli lwenyo lumuleikhage mbulongolo mu vanu munjeila eiya khuta avanu vanchivonage imbombo inonu ndyumwe nu khumwimikha uDaada yeinyo uva khukyanya.
2805110075	Mlekhe ukhuta ninchile khudenya ululageilo vave vuvanya malago saninchile khudenya punichele khwinoncha nukhugolosya.
28051200c6	Pu lweli nikhuvavula ukhuta pu napakha ikyanya ni khilunga fyooni filute, khisikhuli eikhigelelo nakhimo eikhya lulagilo ulu yakhiva lwihega, pu mpakha apo upoyakhiva khila khinu khiva khikwilanile.
2805130107	Pu leino umunu uveiavenchaga uveideenya ululagilo uludeebe loninie mundagilo inchi nukhuvanyisya akange ukhudeenya uywa puikhilangiwaga ideebe muludeva lwa khukyanya. Pu ula uveikhunchibata nukhuvamanyisya avange uywa ikhilangiwaga imbaha muludeeva lwa khukyanya.
280514009f	Manya nikhuvavula ukhuta einave uvugolofu weinyo savulutiila, mumbogolofu wa vasimbi va kalata na Vafalisyao, pusamuleingile lusikhu mundudeeva ulwa khukyanya.
2805150063	Mupoulikhe ukhuta avanu ava khatale vavuliwe ukhuta, ulahudaga nu munu ubudi panogile ukhuheigiwa.'
28051600ed	Pu leino une nikhuvavula ukhuta umunu unyaluviipo khu niine punogile ukhuheigiwa, umunu uveikhinchifula nukhusula ulukololwe panugile ukhuheigiwa palulundamano lwa vaheigi nu munu uveikotola vivakhulahiwa mundugadu ncho ulwa mwoto ukali.
280517007f	Puleino unave vuheileikha isadakha ya panekhelo yakhutekhela khuntwa, punakhumbukhe ukhuta uleininogwa nu lukololwo ikuta nuve,
2805180075	pu yeilekhe isadakha eiyo pala panekhelo, pu beite tasi ukhideehane nulukololwo, pukilivukhe khwilaha isadakha yakho.
2805190142	Weideehane nu munu uveitutile inogwa khumwene, weideikhe khimbeivi mbeive vumuleimunjeila mwiluta khubalasa, pu unave savukhwidehana nave munjei pu ula uveiutulile einongwa khumwene avahile ukhukhulekha khumbaha vavuheigi wa nongwa pu ula ikhukhuheilikha mmavokho ga vasikhali puvikhukhudeindeila mundu pala nie minyololo.
28051a0084	Pu weideikhe ukhu nalusikhu sakha khudekhepele winchiga ukungiwe mulamula vusuhombile eihela ya mwene impakha yakhiva vuhomba yooni.
28051b0031	Mupulikhe ukhuta, linchoviwe eilita ulaligupaga.'
28051c006a	Pu une nikhuvavula niita umunu ikhundola udala mumbunogwe uywa amalile ukhuligupa nave munumbula ya mwene.
28051d00ce	Enave eiliho lyakho eilya khundyo likhukhupela uvunangi pu uleihenche utage khuvutali nuve. Ulwa khuva huba uve mbula khamagikha khaninie. Pu umbeili gwakho gwooni gulekhe ukhutagiwa mundugaduncho la mwoto.
28051e00cc	Pu ni khivokho khyakho eikhya khundyo khinga khupele uvunangi pugeide, utage khutali nuve. Manya panogile uve mbulakhimagikha khininie, pu umbeili gwakho gyooni gulekhe ukhutagiwa mundugaduncho lwa mwoto.
28051f0052	Leinchoviwe eilita, uveihumya udala nukhupa eikalata eiyiita niswimile udala uyu.'
28052000b2	Pu une nikhuvavula niita, uveihumya udala va mwene vusaligwipe, pu ikhupela aveindigu na vanu avange pu umunu uveitola udala uvalekhiwe nu gosi va mwene uywa pu iva iligupa nave.
2805210080	Mupulikhe ukhuta, vavuliwe ava viise veinyo ukhuta, 'Ulekhe ukhwijiega mbudesi, pu umwe mweijiagage khu Ntwa kwene uvwayeilweli.
2805220082	Pu une leino nikhuvavula niita, muleijieguga na padebe, khumela nu khuta manya nakhukyanya, ulwa khuva khyukhigoda eikhya Nguluve;
2805230078	Khive mukhilunga manya pupakhuvikha amalunde ga mwene, yeive mwu mu Jelusalemu, pakhuva wuvunchenge uwankuludeva umbaha.
28052400a3	Khyumela nukhwijiega pakhuta, manya neilie nuntwe manya neilieninchwele pakhuva sawigela nukhupela ate uluywilei hata lumo ukhuta luve lu valafu yeive luve lutitu.
280525009d	Pu amamenyu geinyo gavenchage ga khuta, 'Ena, enave mukhweideihana, mutenchage khyomela enave samukhwi deihana.' Pa khuva agaluteilile pa ago gihuma mundugu.
280526004c	Mupulikhe lisimbiwe eilita ukhwita, vuleila eiliho pa liho, eilino pa lino.'
28052700a8	Pu leino une nikhuvavula niita, mulakilanaga nu munu umbivi; pu umunu anakhutove ni lipi khuvunchuga waakho uluvafu ulwa khundyo pupinchage nuluvafu ulunge lwope atove.
2805280051	Pu umunu anakhuheileikhe pavuheigi apokhe umwenda gwakho pu upinchage na gugunge.
2805290059	Pu ula uveikhukhyumeilincha ukhugenda nu mwene eimaili yeimo pu gende nave imaili eveili.
28052a0062	Pu ula uveikhudova ifya khudova upeinchage, ula uveidova ukole upe ulekhe ukhusyetukhila khungosi.
28052b0041	Mu pulikhe leisimbiwe eilita uganage unino, unsoulage utavangwa.'
28052c008f	Pu une nikhuvavula niita muvaganage avatavangwa veinyo, muvadovelage ulusayo vala avikhuvakotola muvavombelage inonu na vala vavo vavansoulile,
28052d00a8	pu muvenchaga vaana va Daada yeinyo uva khukyanya. Pakhuva umwene ikhuva muleikhila eilinchuva avavivi na vanonu, ifula ya mwene yeitima khu vagolofu navatava vagolofu.
28052e0075	Pumunave mukhuvagana vala vavo vavaganile umwe, pu muhombiwa khinukheikhi? Avasangunchi voope nchusavivoomba ndincho?
28052f007f	Hange munave musamusania mwivana munu yumwe, pu muvomba khinu khikhi ukhuluteila? Pu! avanu avapanchi nchu savivoomba ndiincho?
2805300050	Pu umwe muvenchage vagolofu nduvu u Dada yeinyo uvakhukyanya umwavelile igolofu.
28060100a3	Mweilolage mulekhe ukhuvomba uvugolofu weinyo pamiho ga vanu ukhuta nuvonekhe khuvene, pu munave mwigaha ewo pusamwikava uluhombo kwa Daada yeinyo uvaleikhukyanya.
28060200f5	Puleino vuleipakhuhumya isadakha yakho pulekhe ukhunkuva eingalape yuve nukhwiginia nduvu avanu avadesi umuvigahila munyumba ncha khwisayeila ukhuta avanu puvavakele, pu ncha yilweli. Lweli nikhuvavula niita, pu viva vakavie hani uluhombo lwavo.
280603008a	Pu uve vuwihumya, isadakha yakho ikhivookho khyakho eikhyaheigi kheilekhe ukhulumanya khila eikhyukhi vombiwa nei khivookho eikhyakhundyo,
2806040075	eisadukha yakho ukhuta puyivenchage ya khuvutitu. Pu uDada vakho uveilola nifyakhuvutitu veikhukhupa uluhombo lwakho.
28060500dd	Pu useikhi uguvukhisaya, ulekhe ukhuvanda vadesi, ulwa khuva vinogwa ukhwima nukhwisaya manyumba icnha khwisayeila na munjeila inchilekhehine ukhuta avanu puvavavone, lweli nukhuva vulela vamalile ukhukava uluhombo lwavo.
28060600ae	Pu leino uve vuleipakhwisaya iengeila mukhiyumba khyakho. Deinda ulwinchi puwisayage kwa Daada vakho uvyalei khuvutitu. U Daada vakho uvei ilola khuvutitu ikhukhupa uluhombo.
280607008d	Nu pumwiva pakhwisaya pumulekhe ukhupwateila nduvu vipwateila avakaya pakhuva avene puvisaga viita vanapwatage amamenyu gavo pugipuleikhikha.
2806080062	Pu mulekhe ukhuhwanana navo, ulwa khuva u Daada yeinyo agamanyile ugumulonda vu mukhaale ukhudova.
2806090060	Pu umwe vumukhisaya mwisayage mtenchage: Daada veito vakhukyanya, eilitawa lyakho leivalanchiwe.
28060a004e	Uludeeva lwakho lwinchage, uvunogwe vwakho vukongiwagwe pasi apa nda khuyanya.
28060b002a	Utupinchange ifinu fyieto ifya eilelo iyi.
28060c004f	Utusyiekhilage inogwa ncheito, ndufwe vutukhuvasyiekhila avanyanogwa khulyufwe.
28060d0076	Ulekhe ukhutuveikha palugelu, pu utupokhe pa mbivi, pu uludeva lwakho na makha gakho nu vudwadwa vwakho sikhu nchooni.
28060e0076	Munave mukhavasyiekhila avanu inongwa nchavo, pu uDaada veinyo uva khukyanya voope ikhuvasyiekhilaga inongwa ncheinyo.
