2800000019	Κατα Ματθαιον
2801010061	βιβλοσ γενεσεωσ ιησου χριστου υιου δαυιδ υιου αβρααμ
28010200c9	αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τουσ αδελφουσ αυτου
28010300cc	ιουδασ δε εγεννησεν τον φαρεσ και τον ζαρα εκ τησ θαμαρ φαρεσ δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ
28010400b2	αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων
28010500c6	σαλμων δε εγεννησεν τον βοοζ εκ τησ ραχαβ βοοζ δε εγεννησεν τον ωβηδ εκ τησ ρουθ ωβηδ δε εγεννησεν τον ιεσσαι
28010600bb	ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δε ο βασιλευσ εγεννησεν τον σολομωνα εκ τησ του ουριου
280107009e	σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασα
28010800a2	ασα δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν
28010900a2	οζιασ δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχαζ αχαζ δε εγεννησεν τον εζεκιαν
28010a00aa	εζεκιασ δε εγεννησεν τον μανασση μανασσησ δε εγεννησεν τον αμων αμων δε εγεννησεν τον ιωσιαν
28010b00a0	ιωσιασ δε εγεννησεν τον ιεχονιαν και τουσ αδελφουσ αυτου επι τησ μετοικεσιασ βαβυλωνοσ
28010c00bd	μετα δε την μετοικεσιαν βαβυλωνοσ ιεχονιασ εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ
28010d00b4	ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακειμ ελιακειμ δε εγεννησεν τον αζωρ
28010e009e	αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχειμ αχειμ δε εγεννησεν τον ελιουδ
28010f00ac	ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ
28011000a0	ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριασ εξ ησ εγεννηθη ιησουσ ο λεγομενοσ χριστοσ
2801110168	πασαι ουν αι γενεαι απο αβρααμ εωσ δαυιδ γενεαι δεκατεσσαρεσ και απο δαυιδ εωσ τησ μετοικεσιασ βαβυλωνοσ γενεαι δεκατεσσαρεσ και απο τησ μετοικεσιασ βαβυλωνοσ εωσ του χριστου γενεαι δεκατεσσαρεσ
2801120122	του δε ιησου χριστου η γεννησισ ουτωσ ην μνηστευθεισησ γαρ τησ μητροσ αυτου μαριασ τω ιωσηφ πριν η συνελθειν αυτουσ ευρεθη εν γαστρι εχουσα εκ πνευματοσ αγιου
28011300b3	ιωσηφ δε ο ανηρ αυτησ δικαιοσ ων και μη θελων αυτην παραδειγματισαι εβουληθη λαθρα απολυσαι αυτην
2801140152	ταυτα δε αυτου ενθυμηθεντοσ ιδου αγγελοσ κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιοσ δαυιδ μη φοβηθησ παραλαβειν μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματοσ εστιν αγιου
28011500be	τεξεται δε υιον και καλεσεισ το ονομα αυτου ιησουν αυτοσ γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων
2801160098	τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντοσ
28011700eb	ιδου η παρθενοσ εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μεθ ημων ο θεοσ
28011800ce	διεγερθεισ δε ο ιωσηφ απο του υπνου εποιησεν ωσ προσεταξεν αυτω ο αγγελοσ κυριου και παρελαβεν την γυναικα αυτου
28011900bb	και ουκ εγινωσκεν αυτην εωσ ου ετεκεν τον υιον αυτησ τον πρωτοτοκον και εκαλεσεν το ονομα αυτου ιησουν
28020100f1	του δε ιησου γεννηθεντοσ εν βηθλεεμ τησ ιουδαιασ εν ημεραισ ηρωδου του βασιλεωσ ιδου μαγοι απο ανατολων παρεγενοντο εισ ιεροσολυμα
28020200e1	λεγοντεσ που εστιν ο τεχθεισ βασιλευσ των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω
280203007c	ακουσασ δε ηρωδησ ο βασιλευσ εταραχθη και πασα ιεροσολυμα μετ αυτου
28020400bf	και συναγαγων παντασ τουσ αρχιερεισ και γραμματεισ του λαου επυνθανετο παρ αυτων που ο χριστοσ γενναται
280205008d	οι δε ειπον αυτω εν βηθλεεμ τησ ιουδαιασ ουτωσ γαρ γεγραπται δια του προφητου
28020600fd	και συ βηθλεεμ γη ιουδα ουδαμωσ ελαχιστη ει εν τοισ ηγεμοσιν ιουδα εκ σου γαρ εξελευσεται ηγουμενοσ οστισ ποιμανει τον λαον μου τον ισραηλ
28020700a9	τοτε ηρωδησ λαθρα καλεσασ τουσ μαγουσ ηκριβωσεν παρ αυτων τον χρονον του φαινομενου αστεροσ
280208010d	και πεμψασ αυτουσ εισ βηθλεεμ ειπεν πορευθεντεσ ακριβωσ εξετασατε περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπωσ καγω ελθων προσκυνησω αυτω
28020900f4	οι δε ακουσαντεσ του βασιλεωσ επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτουσ εωσ ελθων εστη επανω ου ην το παιδιον
28020a005f	ιδοντεσ δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα
28020b0165	και ελθοντεσ εισ την οικιαν ειδον το παιδιον μετα μαριασ τησ μητροσ αυτου και πεσοντεσ προσεκυνησαν αυτω και ανοιξαντεσ τουσ θησαυρουσ αυτων προσηνεγκαν αυτω δωρα χρυσον και λιβανον και σμυρναν
28020c00b3	και χρηματισθεντεσ κατ οναρ μη ανακαμψαι προσ ηρωδην δι αλλησ οδου ανεχωρησαν εισ την χωραν αυτων
28020d01a9	αναχωρησαντων δε αυτων ιδου αγγελοσ κυριου φαινεται κατ οναρ τω ιωσηφ λεγων εγερθεισ παραλαβε το παιδιον και την μητερα αυτου και φευγε εισ αιγυπτον και ισθι εκει εωσ αν ειπω σοι μελλει γαρ ηρωδησ ζητειν το παιδιον του απολεσαι αυτο
28020e00a6	ο δε εγερθεισ παρελαβεν το παιδιον και την μητερα αυτου νυκτοσ και ανεχωρησεν εισ αιγυπτον
28020f00ed	και ην εκει εωσ τησ τελευτησ ηρωδου ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντοσ εξ αιγυπτου εκαλεσα τον υιον μου
280210018a	τοτε ηρωδησ ιδων οτι ενεπαιχθη υπο των μαγων εθυμωθη λιαν και αποστειλασ ανειλεν παντασ τουσ παιδασ τουσ εν βηθλεεμ και εν πασιν τοισ οριοισ αυτησ απο διετουσ και κατωτερω κατα τον χρονον ον ηκριβωσεν παρα των μαγων
280211006a	τοτε επληρωθη το ρηθεν υπο ιερεμιου του προφητου λεγοντοσ
28021200ef	φωνη εν ραμα ηκουσθη θρηνοσ και κλαυθμοσ και οδυρμοσ πολυσ ραχηλ κλαιουσα τα τεκνα αυτησ και ουκ ηθελεν παρακληθηναι οτι ουκ εισιν
280213009d	τελευτησαντοσ δε του ηρωδου ιδου αγγελοσ κυριου κατ οναρ φαινεται τω ιωσηφ εν αιγυπτω
28021400f3	λεγων εγερθεισ παραλαβε το παιδιον και την μητερα αυτου και πορευου εισ γην ισραηλ τεθνηκασιν γαρ οι ζητουντεσ την ψυχην του παιδιου
2802150092	ο δε εγερθεισ παρελαβεν το παιδιον και την μητερα αυτου και ηλθεν εισ γην ισραηλ
280216012d	ακουσασ δε οτι αρχελαοσ βασιλευει επι τησ ιουδαιασ αντι ηρωδου του πατροσ αυτου εφοβηθη εκει απελθειν χρηματισθεισ δε κατ οναρ ανεχωρησεν εισ τα μερη τησ γαλιλαιασ
28021700ce	και ελθων κατωκησεν εισ πολιν λεγομενην ναζαρετ οπωσ πληρωθη το ρηθεν δια των προφητων οτι ναζωραιοσ κληθησεται
28030100ac	εν δε ταισ ημεραισ εκειναισ παραγινεται ιωαννησ ο βαπτιστησ κηρυσσων εν τη ερημω τησ ιουδαιασ
2803020066	και λεγων μετανοειτε ηγγικεν γαρ η βασιλεια των ουρανων
2803030107	ουτοσ γαρ εστιν ο ρηθεισ υπο ησαιου του προφητου λεγοντοσ φωνη βοωντοσ εν τη ερημω ετοιμασατε την οδον κυριου ευθειασ ποιειτε τασ τριβουσ αυτου
2803040108	αυτοσ δε ο ιωαννησ ειχεν το ενδυμα αυτου απο τριχων καμηλου και ζωνην δερματινην περι την οσφυν αυτου η δε τροφη αυτου ην ακριδεσ και μελι αγριον
28030500a8	τοτε εξεπορευετο προσ αυτον ιεροσολυμα και πασα η ιουδαια και πασα η περιχωροσ του ιορδανου
2803060088	και εβαπτιζοντο εν τω ιορδανη υπ αυτου εξομολογουμενοι τασ αμαρτιασ αυτων
2803070127	ιδων δε πολλουσ των φαρισαιων και σαδδουκαιων ερχομενουσ επι το βαπτισμα αυτου ειπεν αυτοισ γεννηματα εχιδνων τισ υπεδειξεν υμιν φυγειν απο τησ μελλουσησ οργησ
2803080049	ποιησατε ουν καρπον αξιον τησ μετανοιασ
28030900f2	και μη δοξητε λεγειν εν εαυτοισ πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεοσ εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ
28030a00e0	ηδη δε και η αξινη προσ την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εισ πυρ βαλλεται
28030b0134	εγω μεν βαπτιζω υμασ εν υδατι εισ μετανοιαν ο δε οπισω μου ερχομενοσ ισχυροτεροσ μου εστιν ου ουκ ειμι ικανοσ τα υποδηματα βαστασαι αυτοσ υμασ βαπτισει εν πνευματι αγιω
28030c0105	ου το πτυον εν τη χειρι αυτου και διακαθαριει την αλωνα αυτου και συναξει τον σιτον αυτου εισ την αποθηκην το δε αχυρον κατακαυσει πυρι ασβεστω
28030d00bc	τοτε παραγινεται ο ιησουσ απο τησ γαλιλαιασ επι τον ιορδανην προσ τον ιωαννην του βαπτισθηναι υπ αυτου
28030e00a2	ο δε ιωαννησ διεκωλυεν αυτον λεγων εγω χρειαν εχω υπο σου βαπτισθηναι και συ ερχη προσ με
28030f00e3	αποκριθεισ δε ο ιησουσ ειπεν προσ αυτον αφεσ αρτι ουτωσ γαρ πρεπον εστιν ημιν πληρωσαι πασαν δικαιοσυνην τοτε αφιησιν αυτον
280310012f	και βαπτισθεισ ο ιησουσ ανεβη ευθυσ απο του υδατοσ και ιδου ανεωχθησαν αυτω οι ουρανοι και ειδεν το πνευμα του θεου καταβαινον ωσει περιστεραν και ερχομενον επ αυτον
2803110098	και ιδου φωνη εκ των ουρανων λεγουσα ουτοσ εστιν ο υιοσ μου ο αγαπητοσ εν ω ευδοκησα
2804010097	τοτε ο ιησουσ ανηχθη εισ την ερημον υπο του πνευματοσ πειρασθηναι υπο του διαβολου
280402008e	και νηστευσασ ημερασ τεσσαρακοντα και νυκτασ τεσσαρακοντα υστερον επεινασεν
28040300ab	και προσελθων αυτω ο πειραζων ειπεν ει υιοσ ει του θεου ειπε ινα οι λιθοι ουτοι αρτοι γενωνται
28040400d8	ο δε αποκριθεισ ειπεν γεγραπται ουκ επ αρτω μονω ζησεται ανθρωποσ αλλ επι παντι ρηματι εκπορευομενω δια στοματοσ θεου
28040500b6	τοτε παραλαμβανει αυτον ο διαβολοσ εισ την αγιαν πολιν και ιστησιν αυτον επι το πτερυγιον του ιερου
2804060143	και λεγει αυτω ει υιοσ ει του θεου βαλε σεαυτον κατω γεγραπται γαρ οτι τοισ αγγελοισ αυτου εντελειται περι σου και επι χειρων αρουσιν σε μηποτε προσκοψησ προσ λιθον τον ποδα σου
280407007f	εφη αυτω ο ιησουσ παλιν γεγραπται ουκ εκπειρασεισ κυριον τον θεον σου
28040800e8	παλιν παραλαμβανει αυτον ο διαβολοσ εισ οροσ υψηλον λιαν και δεικνυσιν αυτω πασασ τασ βασιλειασ του κοσμου και την δοξαν αυτων
2804090070	και λεγει αυτω ταυτα παντα σοι δωσω εαν πεσων προσκυνησησ μοι
28040a00db	τοτε λεγει αυτω ο ιησουσ υπαγε οπισω μου σατανα γεγραπται γαρ κυριον τον θεον σου προσκυνησεισ και αυτω μονω λατρευσεισ
28040b008b	τοτε αφιησιν αυτον ο διαβολοσ και ιδου αγγελοι προσηλθον και διηκονουν αυτω
28040c0080	ακουσασ δε ο ιησουσ οτι ιωαννησ παρεδοθη ανεχωρησεν εισ την γαλιλαιαν
28040d00c8	και καταλιπων την ναζαρετ ελθων κατωκησεν εισ καπερναουμ την παραθαλασσιαν εν οριοισ ζαβουλων και νεφθαλειμ
28040e0062	ινα πληρωθη το ρηθεν δια ησαιου του προφητου λεγοντοσ
28040f0094	γη ζαβουλων και γη νεφθαλειμ οδον θαλασσησ περαν του ιορδανου γαλιλαια των εθνων
28041000c7	ο λαοσ ο καθημενοσ εν σκοτει ειδεν φωσ μεγα και τοισ καθημενοισ εν χωρα και σκια θανατου φωσ ανετειλεν αυτοισ
28041100a8	απο τοτε ηρξατο ο ιησουσ κηρυσσειν και λεγειν μετανοειτε ηγγικεν γαρ η βασιλεια των ουρανων
2804120148	περιπατων δε παρα την θαλασσαν τησ γαλιλαιασ ειδεν δυο αδελφουσ σιμωνα τον λεγομενον πετρον και ανδρεαν τον αδελφον αυτου βαλλοντασ αμφιβληστρον εισ την θαλασσαν ησαν γαρ αλιεισ
2804130076	και λεγει αυτοισ δευτε οπισω μου και ποιησω υμασ αλιεισ ανθρωπων
2804140057	οι δε ευθεωσ αφεντεσ τα δικτυα ηκολουθησαν αυτω
2804150166	και προβασ εκειθεν ειδεν αλλουσ δυο αδελφουσ ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου εν τω πλοιω μετα ζεβεδαιου του πατροσ αυτων καταρτιζοντασ τα δικτυα αυτων και εκαλεσεν αυτουσ
280416007d	οι δε ευθεωσ αφεντεσ το πλοιον και τον πατερα αυτων ηκολουθησαν αυτω
2804170139	και περιηγεν ολην την γαλιλαιαν ο ιησουσ διδασκων εν ταισ συναγωγαισ αυτων και κηρυσσων το ευαγγελιον τησ βασιλειασ και θεραπευων πασαν νοσον και πασαν μαλακιαν εν τω λαω
