2800000005	Matyu
2801010046	Diti me Yisu Kilisi limi. Yêni me Ablaham lo Devit ining lim lêkmuk.
280102005e	Ablaham hîmbî Aisak vê. Me Aisak hîmbî Jekop vê. Me Jekop hîmbî Juda lêk viyaŋi vê.
2801030077	Me Juda hîmbî Peles lo Sela vê. Me thêi ning katik me Tama. Me Peles hîmbî Heslon vê. Me Heslon hîmbî Lam vê.
2801040058	Me Lam hîmbî Aminadap vê. Me Aminadap hîmbî Nason vê. Me Nason hîmbî Salmon vê.
2801050085	Me Salmon hîmbî Boas vê. Me Boas talêmbô me Lahap. Me Boas hîmbî Obet vê. Me Obet talêmbô me Lut. Me Obet hîmbî Jesi vê.
2801060071	Me Jesi hîmbî King Devit vê. Me Devit hîmbî Solomon vê. Me Solomon talêmbô me Ulia yanavî be Devit hiwa.
2801070059	Me Solomon hîmbî Lehoboam vê. Me Lehoboam hîmbî Abiya vê. Me Abiya hîmbî Asa vê.
280108005f	Me Asa hîmbî Jehosapat vê. Me Jehosapat hîmbî Jeholam vê. Me Jeholam me Usaia ya bumalô.
2801090054	Me Usaia hîmbî Jotam vê. Me Jotam hîmbî Ahas vê. Me Ahas hîmbî Hesekaia vê.
28010a0057	Me Hesekaia hîmbî Manasa vê. Me Manasa hîmbî Amon vê. Me Amon hîmbî Josaia vê.
28010b00a7	Me Josaia me Jekonaia lêk viyaŋi ning bumalô. Jekonaia lêk viyaŋi ivutak hêndêng waklavông Islael ining ŋakyo evalong loho be iwa be ê êndô hîmô Babilon.
28010c006d	Avîlanô Islael îmô Babilon denang, me Jekonaia hîmbî Sialtiel vê. Me Sialtiel me Selubabel ya bumalô.
28010d005b	Me Selubabel hîmbî Abiut vê. Me Abiut hîmbî Elaiakim vê. Me Elaiakim hîmbî Aso vê.
28010e004f	Me Aso hîmbî Sadok vê. Me Sadok hîmbî Akim vê. Me Akim hîmbî Eliut vê.
28010f0057	Me Eliut hîmbî Eleasal vê. Me Eleasal hîmbî Matan vê. Me Matan hîmbî Jekop vê.
2801100071	Me Jekop hîmbî Josep vê. Me Josep ditu Malia yamalô. Me Malia êng ditu hevathu Yisu atu be elam nena Mesaya.
28011101bf	Me avîlanô takatu be ivutak êndêng Ablaham ya wakma heveng hele be hêyô Devit, loho me hîtôm ondong lauming be lahavôva. Me avîlanô takatu be ivutak êndêng Devit ya wakma hele be hêyô avîlanô Islael ê Babilon, loho me hîtôm ondong lauming be lahavôva bêng yom. Me avîlanô takatu be ivutak hêndêng wakma atu be avîlanô Islael îmô Babilon hele be hêyô Mesaya ya wakma me hîtôm ondong lauming be lahavôva bêng yom.
28011200f6	Diti me Yisu Kilisi ya kôkôthing hivutak pîk iti. Malia ya avîlanô bôk epesang ambô yôv vo endom yêni ethak Josep. Thêi mî bôk êk iving i amî denang me êyê nena Malia lêk hethambeng. Lovak Matheng da hevong be sêik êng hivutak.
28011300fc	Metom Josep ôpatu be tem nimbua Malia me hîthông nena sêik atu be heva Malia la me hivutak bisête. Josep me anô thêthôp, be ditu hêndô nembong Malia moma îndôk avîlanô maleŋing. Êng me hethalo auk eveng vo netak yêni menang oyang bini.
28011400f1	Hethalo auk eveng denang me hêyê navîng te nena Anômbêng ya aŋêla te hêyô be henang nena, “Josep, Devit lim lêkmuk, sêik iti me hêlêm nang Lovak Matheng. Be ditu dô nôkô andô me numbua Malia bunu yong melak îtôm vônîm.
2801150079	Me tem nembathu wakna te be nondam ya athêng nena Yisu, vômbê nena tem nimbua ya avîlanô vê injêk ining kambom.”
2801160080	Me nômkama takiti hivutak vo Anômbêng ya ambô niŋgik anông nang bôk hêv ambô ti hêndêng plopet Aisaia be henang nena,
28011700c8	“Ondaŋô! Avî te mî hêk hiving anô amî denang me tem nethambeng be nembathu wakna te. Be tem endam ya athêng nena Imanuel.” Athêng êng ya ondong nena, “Wapômbêng hîmô hiving aô.”
28011800a4	Me Josep hêyê navîng êng yôv me hesong hiviyô. Me hê hevong bêng hîtôm datu be Anômbêng ya aŋêla henang me hiwa Malia be hê ya melak hîtôm yanavî.
280119006e	Metom mî hêk hiving yanavî amî hele be hevathu wakna êng yôv. Me hêv athêng Yisu hêndêng wakna êng.
28020100bb	Malia bôk hevathu Yisu yôv hêk Betlehem nang Judia. Waklavông êng me Helot hîmô hîtôm king. Hêndêng wakma êng me ŋa lêkauk ethak môtôp nang long wak ethak êlêm Jelusalem
28020200c8	me enang ik ling nena, “Sêik lêkmuk atu be hivutak hîtôm ŋa Juda ning king, talêmbô hevathu hêk êsê? Yoô yê ya môtôp hivutak long wak ethak be yoô lêm vo aŋgêv yeng ethak yêni.”
2802030056	Me king Helot lêk avîlanô Jelusalem sapêng elaŋô ambô êng be leŋing malêing.
28020400ab	Tomêng me Helot helam ŋa bêŋbêng îmbôk da lêk kîdôŋga ambô balambung sapêng ethak tom. Me henang ik loho ling nena, “Mesaya atu tem embathu injêk êsê?”
2802050082	Me loho nang viyang nena, “Tem embathu injêk Betlehem nang Judia hîtôm Wapômbêng bôk henang be plopet te bôk hekavu nena,
28020600f6	“‘Ong Betlehem atu be hômô Juda ning pîk, anômbêng te tem nimbutak nang ong be neyaŋging yînîng avîlanô Islael îtôm boksipsip ining alang, be ditu ong mî melak lông oyang te hîmô Juda ning pîk lîvông amî. Mî anông!’”
2802070070	Yôv me Helot helam ŋa lêkauk takatu menang oyang êlêm vo nendaŋô nena aŋgête ditu môtôp êng hivutak.
28020800c5	Helaŋô yôv me hêv loho be ê Betlehem me henang nena, “Môlô nu me othalo sêik kasek êng katôyang. Be môlô tung yêni me ondelêm onang ethak ya vo yanaŋgêv yeng ethak inda imbing.”
28020900aa	Loholaŋô king ya ambô yôv me loho ê. Me êyê môtôp atu be hivutak long wak ethak me himung be hê hele be hêyô heva long atu be sêik kasek êng hêk ya viling.
28020a003e	Wakma loho yê môtôp atu me loho leŋing mavî bêng anông.
28020b0114	Be ditu loho vutak êyô melak kapô be ê me êyê sêik kasek atu lo talêmbô Malia. Êng me eya veŋiŋbudum thîvô me ikum be êv yeng ethak yêni. Me ik ining alepa kê be êv nômkama mavî mavî îtôm ining leŋing mavî hêndêng yêni. Êv gol lêk paola be sanda.
28020c00a6	Me êyê navîng te nena Wapômbêng henang ethak loho vo dô endeni êyô vo Helot ethak loŋbô andô. Êng me elom loŋdaŋlê yang be ê ning long hethak loŋbô.
