0100000008	Postanak
0101010024	U početku stvori Bog nebo i zemlju.
0101020062	A zemlja beše bez obličja i pusta, i beše tama nad bezdanom; i duh Božji dizaše se nad vodom.
010103002f	I reče Bog: Neka bude svetlost. I bi svetlost.
0101040040	I vide Bog svetlost da je dobra; i rastavi Bog svetlost od tame.
010105004d	I svetlost nazva Bog dan, a tamu nazva noć. I bi veče i bi jutro, dan prvi.
0101060047	Potom reče Bog: Neka bude svod posred vode, da rastavlja vodu od vode.
010107004b	I stvori Bog svod, i rastavi vodu pod svodom od vode nad svodom; i bi tako.
0101080038	A svod nazva Bog nebo. I bi veče i bi jutro, dan drugi.
0101090069	Potom reče Bog: Neka se sabere voda što je pod nebom na jedno mesto, i neka se pokaže suvo. I bi tako.
01010a004f	I suvo nazva Bog zemlja, a zborišta vodena nazva mora; i vide Bog da je dobro.
01010b00aa	Opet reče Bog: Neka pusti zemlja iz sebe travu, bilje, što nosi seme, i drvo rodno, koje rađa rod po svojim vrstama, u kome će biti seme njegovo na zemlji. I bi tako.
01010c00a2	I pusti zemlja iz sebe travu, bilje, što nosi seme po svojim vrstama, i drvo, koje rađa rod, u kome je seme njegovo po njegovim vrstama. I vide Bog da je dobro.
01010d0022	I bi veče i bi jutro, dan treći.
01010e0075	Potom reče Bog: Neka budu videla na svodu nebeskom, da dele dan i noć, da budu znaci vremenima i danima i godinama;
01010f0041	i neka svetle na svodu nebeskom, da obasjavaju zemlju. I bi tako.
010110006b	I stvori Bog dva videla velika: videlo veće da upravlja danom, i videlo manje da upravlja noću, i zvezde.
0101110038	I postavi ih Bog na svodu nebeskom da obasjavaju zemlju.
0101120052	I da upravljaju danom i noću, i da dele svetlost od tame. I vide Bog da je dobro.
0101130024	I bi veče i bi jutro, dan četvrti.
0101140060	Potom reče Bog: Neka vrve po vodi žive duše, i ptice neka lete iznad zemlje pod svod nebeski.
01011500a7	I stvori Bog kitove velike i sve žive duše što se miču, što provrveše po vodi po vrstama svojim, i sve ptice krilate po vrstama njihovim. I vide Bog da je dobro;
0101160076	i blagoslovi ih Bog govoreći: Rađajte se i množite se, i napunite vodu po morima, i ptice neka se množe na zemlji.
0101170020	I bi veče i bi jutro, dan peti.
0101180096	Potom reče Bog: Neka zemlja pusti iz sebe duše žive po vrstama njihovim, stoku i sitne životinje i zveri zemaljske po vrstama njihovim. I bi tako.
010119009a	I stvori Bog zveri zemaljske po vrstama njihovim, i stoku po vrstama njenim, i sve sitne životinje na zemlji po vrstama njihovim. I vide Bog da je dobro.
01011a00cd	Potom reče Bog: Da načinimo čoveka po svom obličju, kao što smo mi, koji će biti gospodar od riba morskih i od ptica nebeskih i od stoke i od cele zemlje i od svih životinja što se miču po zemlji.
01011b0061	I stvori Bog čoveka po obličju svom, po obličju Božjem stvori ga; muško i žensko stvori ih.
01011c00c3	I blagoslovi ih Bog, i reče im Bog: Rađajte se i množite se, i napunite zemlju, i vladajte njom, i budite gospodari od riba morskih i od ptica nebeskih i od svih zveri što se miče po zemlji.
01011d0088	I još reče Bog: Evo, dao sam vam sve bilje što nosi seme po svoj zemlji, i sva drveta rodna koja nose seme; to će vam biti za hranu.
01011e0092	A svim zverima zemaljskim i svim pticama nebeskim i svemu što se miče na zemlji i u čemu ima duša živa, dao sam svu travu da jedu. I bi tako.
01011f0062	Tada pogleda Bog sve što je stvorio, i gle, dobro beše veoma. I bi veče i bi jutro, dan šesti.
0102010033	Tako se dovrši nebo i zemlja i sva vojska njihova.
010202006c	I svrši Bog do sedmog dana dela svoja, koja učini; i počinu u sedmi dan od svih dela svojih, koja učini;
0102030061	i blagoslovi Bog sedmi dan, i posveti ga, jer u taj dan počinu od svih dela svojih, koja učini.
0102040050	To je postanje neba i zemlje, kad postaše, kad Gospod Bog stvori zemlju i nebo,
01020500ba	I svaku biljku poljsku, dokle je još ne beše na zemlji, i svaku travku poljsku, dokle još ne nicaše; jer Gospod Bog još ne pusti dažda na zemlju, niti beše čoveka da radi zemlju,
0102060035	ali se podizaše para sa zemlje da natapa svu zemlju.
010207006a	A stvori Gospod Bog čoveka od praha zemaljskog, i dunu mu u nos duh životni; i posta čovek duša živa.
010208004e	I nasadi Gospod Bog vrt u Edemu na istoku; i onde namesti čoveka, kog stvori.
0102090097	I učini Gospod Bog, te nikoše iz zemlje svakakva drveća lepa za gledanje i dobra za jelo, i drvo od života usred vrta i drvo od znanja dobra i zla.
01020a004d	A voda tečaše iz Edema natapajući vrt, i odande se deliše u četiri reke.
01020b0049	Jednoj je ime Fison, ona teče oko cele zemlje evilske, a onde ima zlata,
01020c0049	i zlato je one zemlje vrlo dobro; onde ima i bdela i dragog kamena oniha.
01020d003b	A drugoj je reci ime Geon, ona teče oko cele zemlje huske.
01020e004e	A trećoj je reci ime Hidekel, ona teče k asirskoj. A četvrta je reka Efrat.
01020f0052	I uzevši Gospod Bog čoveka namesti ga u vrtu edemskom, da ga radi i da ga čuva.
010210004e	I zapreti Gospod Bog čoveku govoreći: Jedi slobodno sa svakog drveta u vrtu;
010211005f	ali s drveta od znanja dobra i zla, s njega ne jedi; jer u koji dan okusiš s njega, umrećeš.
0102120052	I reče Gospod Bog: Nije dobro da je čovek sam; da mu načinim druga prema njemu.
01021300b1	Jer Gospod Bog stvori od zemlje sve zveri poljske i sve ptice nebeske, i dovede k Adamu da vidi kako će koju nazvati, pa kako Adam nazove koju životinju onako da joj bude ime;
010214007d	i Adam nadede ime svakom živinčetu i svakoj ptici nebeskoj i svakoj zveri poljskoj; ali se ne nađe Adamu drug prema njemu.
010215005c	I Gospod Bog pusti tvrd san na Adama, te zaspa; pa mu uze jedno rebro, i mesto popuni mesom;
