010000000b	Bhaa-bhaana
0101010037	I bhaa-bhaana Aulataʼala apadhaangia laiana tee alamu.
0101020079	Alamu indapo akomodele tee akoso. Kalalanda atutubhi uwena andala, tee Rohina Aulataʼala apekapola-polaka i bhawona uwe.
0101030050	Afirimanimo Aulataʼala, "Membalimo mainawa." Kasiimpo kainawa sumai amembalimo.
0101040066	Aulataʼala akamata ande kainawa sumai amalape, kasiimpo kainawa sumai apapogaaia minaaka i kalalanda.
0101050093	Tee Aulataʼala asarongiakea kainawa sumai "o eo" tee kalalanda sumai "o malo." Amembalimo konowia tee amembalimo saeona, sumaimo o eo bhaa-bhaana.
010106007a	Afirimanimo Aulataʼala, "Membalimo potidhaa i tanga-tangana uwe, mamudhaakana apapogaaia o uwe minaaka i uwe mosagaanana.
01010700b1	Sabutuna, Aulataʼala apamembalia potidhaa sumai tee incia apapogaaia o uwe modhaangiana i tambena potidhaa sumai minaaka i uwe modhaangiana i bhawona tee amembalimo mboo sumai.
010108007c	Kasiimpo Aulataʼala asarongiakea potidhaa sumai, "laiana". Amembalimo konowia tee amembalimo saeona, siitumo o eo rua eona.
01010900b0	Afirimanimo Aulataʼala, "Membalimo bhari-bharia uwe modhaangiana i tambena laiana aporomusaka i saangu tampa, sanampuu atokamatamo tampa momatuuna." Tee amembalimo mboo sumai.
01010a00ad	Kasiimpo Aulataʼala asarongiakea tampa momatuuna sumai "o tana matuu", tee romusakana uwe sumai asarongiakea "o tawo". Aulataʼala akamatea ande bhari-bharia sumai amalape.
01010b00c4	Afirimanimo Aulataʼala, "Amembalimo tana apatuwu manga rumpu mangura, manga penembula mokoompolena, tee sagala giu puuna manga bhake mokohasiliakana bhake mokobhatuna." Tee amembalimo mboo sumai.
01010c00bd	Tana sumai apatuwu manga rumpu mangura, sagala giuna penembula mokoompolena tee sagala giu puuna kau mokohasiliakana bhake mokobhatuna. Aulataʼala akamatea ande bhari-bharia sumai amalape.
01010d003f	Amembalimo konowia tee amembalimo saeona, siitumo eo talu eona.
01010e0092	Afirimanimo Aulataʼala, "Amembalimo manga kainawa i laiana to apapogaaia eo minaaka i malo. Amembalimo tanda ipatantuakana henggana, eo, tee tao,
01010f006d	tee mboomo bhari-bharia sumai amembalimo kainawa i laiana to apekainawaaka alamu." Tee amembalimo mboo sumai.
01011000c0	Sumaimo Aulataʼala apamembalia rua angu kainawa maogena sumai, siitumo kainawa motolabhina kaogena to akuasai eo tee kainawa momaidhiidhina to akuasai malo, tee apamembali uka manga kalipopo.
010111005c	Kasiimpomo, Aulataʼala adhikaia bhari-bharia kainawa sumai i laiana to apekainawaaka alamu,
010112007b	to akuasai eo tee malo, tee apapogaaia kainawa minaaka i kagalapu tee Aulataʼala akamatea ande bhari-bharia sumai amalape.
010113003f	Amembalimo konowia tee amembalimo saeona, sumaimo eo pata eona.
01011400b2	Afirimanimo Aulataʼala, "Amembalimo i nuncana uwe manga mahaluku modhadhina akaketu-ketu, tee amembalimo manga manu-manu apekapola-polaka i bhawona alamu apekatii-tii i laiana."
01011500f9	Sumaimo Aulataʼala apadhaangia manga mahaluku momaogena i tawo tee sagala giu mahaluku modhadhina tee mokomingkuna tee mokaketu-ketuna i uwe, mboo sumaimo uka sagala giu manu-manu mokopanina tee Aulataʼala akamatea ande bhari-bharia sumai amalape.
01011600be	Kasiimpomo Aulataʼala abarakatia bhari-bharia sumai tee afirimani, "Handamo apajulua pekabhari tee arangani kabharina, apoose apabukea uwe i tawo. Manu-manu uka ahandamo kabharina i alamu."
010117003e	Amembalimo konowia tee amembalimo saeona siitumo eo lima eona.
01011800b7	Afirimanimo Aulataʼala, "Amembalimo alamu apalimba sagala giu mahaluku modhadhina, kadhambaaka, binata mopondelena tee sagala giu binata momailana." Kasiimpomo amembalimo mboo sumai.
01011900b7	Aulataʼala apamembalia sagala giu binata momailana, sagala giu binata kadhambaaka, tee sagala giu binata mopondelena i tana, tee Aulataʼala akamatea ande bhari-bharia sumai amalape.
