2800000007	Mathayo
2801010044	Kitabu cha lukolo lwa Yesu Kristo mwana wa Daudi, mwana wa Ibrahimu,
280102005d	Ibrahimu abile tate ba Isaka, ni Isaka tate bake Yakobo, ni Yakobo tate ba Yuda ni nuna bake.
2801030060	Yuda abile tate ba Peresi ni Sera kwa Tamari, Peresi tate ba Hezeroni, ni Hezeroni tate ba Ramu.
2801040055	Ramu abile tate ba Aminadabu, Aminadabu tate ba Nashoni, ni Nashoni tate ba Salimoni,
280105005a	Salimoni abile tate ba Boazi kwa Rahabu, Boazi tate ba Obedi kwa Ruth, Obedi tate ba Yese,
2801060054	Yese abile tate ba mpwalume Daudi, Daudi abile tate ba Sulemani kwa nnyumbo wa Uria.
280107004d	Sulemani abile tate ba Rehoboamu, Rehoboamu tate ba Abiya, Abiya tate ba Asa.
2801080045	Asa abile tate ba Yehishafati tate ba Yoramu, ni Yoramu tate ba Uzia.
2801090049	Uzia abile tate ba Yothamu, Yothamu tate ba Ahazi, Ahazi tate ba Hezekia.
28010a004a	Hezekia abile tate ba Manase, Manase baba ba Amoni ni Amoni tate ba Yosia.
28010b0049	Yosia abile tate ba Yekonia ni kaka bake wakati pabatolilwe yenda Babeli.
28010c005f	Ni baada ya tolelwa yenda Babeli, Yekonia abile tate ba Shatieli abile babu bake ni Zarubabeli.
28010d0054	Zarubabeli abile tate ba Abiudi, Abiudi tate ba Eliakimu, ni Eliakimu tate ba Azori,
28010e004a	Azori abile tate ba Zadoki, Zadoki tate ba akimu, ni Akimu baba ba Eliudi.
28010f004c	Eliudi abile tate ba Eliaza, Eliaza tate ba Matani ni Matani tate ba Yakobo.
2801100062	Yakobo abile tate ba Yusufu nsengo wa Mariamu, ambaye kwa Yembe Yesu abelekilwe, ywa kemwa Kristo.
28011100ce	Ibelei yoti tangu Ibrahimu hadi Daudi yabile ibelei komi ni ncheche, kuoma Daudi hadi kutoliwa yenda Babeli ibelei komi ni ncheche, ni kuoma kutoliwa yenda Babeli mpaka Kristo yabile ibelei komi ni ncheche.
28011200a5	Belekwa kwa Yesu Kristo kwabile nyonyo, Mao bake, Mariamu, achumbilwe ni Yusufu, lakini babi bado gonja pamope, abonekine kubi ni ndumbo kwa uwezo ba Roho mtakatifu.
280113005c	Nchengo bake, Yusufu, abile mundu wa Nnongo apendi kwaa kumpeya oni. Amweni anneka kwa siri.
28011400d0	Pabilekagawaza kunani makowe ago, Malaika ba Ngwana ampili mundoto, kakoya, “Yusufu mwana wa Daudi, kana uyogope kuntola Mariamu kuba nnyumbo bako, kwa sababu ndumbo abi nayo ni kwa uweza wa Roho mtakatifu.
2801150074	Alowa beleka mwana nnalome ni walowa kunkema lina lyake Yesu, kati apala kubalopwa bandu bake kuoma musambi zabe.”
280116004b	Ngoti yega yapitike kamirisha chelo sabakilwe kwa ndela ya manabii, kakoya,
280117007c	Lola, bikira apatola ndumbo ni beleka mwana nnalome, ni akemwa lina lyake Imanueli maana yake, “Nnongo pamope natwenga.”
2801180069	Yusufu atiyumuka kuoma mulugono ni panga kati malaika wa Ngwana akoite nga atikumpotwa kati nnyumbo bake.
2801190057	Palyo, agonjike kwaa nakwe mpaka paapapite mwana wake nnalome akemilwe lina lyake Yesu.
2802010091	Baada ta Yesu, belekwa mu Bethlehemu ya Uyahudi plyo pa utawala ba mpwalume Herode bandu asomi buka kubwani ya kutalu baisile Yerusalemu kaakoya,
2802020069	“ywabile kwaa'ko ywabelekilwe mpwalume Ayahudi? twabweni itondwa yabile mashariki yitu tuisi kumwabudu.
280203004e	Palyo mpwalume Herode payowine atiyogopa, ni Yerusalemu yote pamope ni ywembe.
280204006a	Herode nga akusanya boti apendo ba makuhani ni baandishi ba bandu, kaalokiya, “Kristo abelekwa kwako?”
