0100000007	Genesis
0101010030	In den beginne schiep God den hemel en de aarde.
0101020069	De aarde nu was woest en ledig, en duisternis was op den afgrond; en de Geest Gods zweefde op de wateren.
0101030031	En God zeide: Daar zij licht! en daar werd licht.
0101040069	En God zag het licht, dat het goed was; en God maakte scheiding tussen het licht en tussen de duisternis.
0101050085	En God noemde het licht dag, en de duisternis noemde Hij nacht. Toen was het avond geweest, en het was morgen geweest, de eerste dag.
0101060071	En God zeide: Daar zij een uitspansel in het midden der wateren; en dat make scheiding tussen wateren en wateren!
01010700a9	En God maakte dat uitspansel, en maakte scheiding tussen de wateren, die onder het uitspansel zijn, en tussen de wateren, die boven het uitspansel zijn. En het was alzo.
0101080067	En God noemde het uitspansel hemel. En het was avond geweest, en het was morgen geweest, de tweede dag.
010109007f	En God zeide: Dat de wateren van onder de hemel in een plaats vergaderd worden, en dat het droge gezien worde! en het was alzo.
01010a006c	En God noemde het droge aarde, en de vergadering der wateren noemde Hij zeeen; en God zag, dat het goed was.
01010b00a8	En God zeide: Dat de aarde uitschiete gras, kruid zaadzaaiende, vruchtbaar geboomte, dragende vrucht naar zijn aard, welks zaad daarin zij op de aarde! En het was alzo.
01010c00aa	En de aarde bracht voort grasscheutjes, kruid zaadzaaiende naar zijn aard, en vruchtdragend geboomte, welks zaad daarin was, naar zijn aard. En God zag, dat het goed was.
01010d0044	Toen was het avond geweest, en het was morgen geweest, de derde dag.
01010e00c3	En God zeide: Dat er lichten zijn in het uitspansel des hemels, om scheiding te maken tussen den dag en tussen den nacht; en dat zij zijn tot tekenen en tot gezette tijden, en tot dagen en jaren!
01010f0069	En dat zij zijn tot lichten in het uitspansel des hemels, om licht te geven op de aarde! En het was alzo.
0101100093	God dan maakte die twee grote lichten; dat grote licht tot heerschappij des daags, en dat kleine licht tot heerschappij des nachts; ook de sterren.
010111004d	En God stelde ze in het uitspansel des hemels, om licht te geven op de aarde.
010112008e	En om te heersen op den dag, en in den nacht, en om scheiding te maken tussen het licht en tussen de duisternis. En God zag, dat het goed was.
0101130045	Toen was het avond geweest, en het was morgen geweest, de vierde dag.
010114009f	En God zeide: Dat de wateren overvloediglijk voortbrengen een gewemel van levende zielen; en het gevogelte vliege boven de aarde, in het uitspansel des hemels!
01011500cd	En God schiep de grote walvissen, en alle levende wremelende ziel, welke de wateren overvloediglijk voortbrachten, naar haar aard; en alle gevleugeld gevogelte naar zijn aard. En God zag, dat het goed was.
0101160092	En God zegende ze, zeggende: Zijt vruchtbaar, en vermenigvuldigt, en vervult de wateren in de zeeen; en het gevogelte vermenigvuldige op de aarde!
0101170045	Toen was het avond geweest, en het was morgen geweest, de vijfde dag.
0101180092	En God zeide: De aarde brenge levende zielen voort, naar haar aard, vee, en kruipend, en wild gedierte der aarde, naar zijn aard! En het was alzo.
01011900ad	En God maakte het wild gedierte der aarde naar zijn aard, en het vee naar zijn aard, en al het kruipend gedierte des aardbodems naar zijn aard. En God zag, dat het goed was.
01011a0107	En God zeide: Laat Ons mensen maken, naar Ons beeld, naar Onze gelijkenis; en dat zij heerschappij hebben over de vissen der zee, en over het gevogelte des hemels, en over het vee, en over de gehele aarde, en over al het kruipend gedierte, dat op de aarde kruipt.
01011b006a	En God schiep den mens naar Zijn beeld; naar het beeld van God schiep Hij hem; man en vrouw schiep Hij ze.
01011c00f8	En God zegende hen, en God zeide tot hen: Weest vruchtbaar, en vermenigvuldigt, en vervult de aarde, en onderwerpt haar, en hebt heerschappij over de vissen der zee, en over het gevogelte des hemels, en over al het gedierte, dat op de aarde kruipt!
01011d00ae	En God zeide: Ziet, Ik heb ulieden al het zaadzaaiende kruid gegeven, dat op de ganse aarde is, en alle geboomte, in hetwelk zaadzaaiende boomvrucht is; het zij u tot spijze!
01011e00d1	Maar aan al het gedierte der aarde, en aan al het gevogelte des hemels, en aan al het kruipende gedierte op de aarde, waarin een levende ziel is, heb Ik al het groene kruid tot spijze gegeven. En het was alzo.
01011f0083	En God zag al wat Hij gemaakt had, en ziet, het was zeer goed. Toen was het avond geweest, en het was morgen geweest, de zesde dag.
0102010039	Alzo zijn volbracht de hemel en de aarde, en al hun heir.
0102020095	Als nu God op de zevende dag volbracht had Zijn werk, dat Hij gemaakt had, heeft Hij gerust op den zevende dag van al Zijn werk, dat Hij gemaakt had.
0102030099	En God heeft den zevende dag gezegend, en die geheiligd; omdat Hij op denzelven gerust heeft van al Zijn werk, hetwelk God geschapen had, om te volmaken.
