0100000009	1 Mosebog
010101002c	I Begyndelsen skabte Gud Himmelen og Jorden.
010102006a	Og Jorden var øde og tom, og der var Mørke oven over Afgrunden, og Guds Aand svævede oven over Vandene.
010103002d	Og Gud sagde: Der vorde Lys; og der blev Lys.
0101040051	Og Gud saa, at Lyset var godt, og Gud gjorde Skilsmisse imellem Lyset og Mørket.
0101050067	Og Gud kaldte Lyset Dag, og Mørket kaldte han Nat; og der blev Aften, og der blev Morgen, første Dag.
0101060068	Og Gud sagde: Der vorde en udstrakt Befæstning midt i Vandene, og den skal skille imellem Vand og Vand.
01010700cc	Og Gud gjorde den udstrakte Befæstning og gjorde Skilsmisse imellem Vandet, som var nedentil i den udstrakte Befæstning, og imellem Vandet, som var oventil i den udstrakte Befæstning; og det skete saa.
0101080061	Og Gud kaldte den udstrakte Befæstning Himmel; og der blev Aften, og der blev Morgen, anden Dag.
0101090060	Og Gud sagde: Vandene under Himlene samle sig til eet Sted, at det tørre ses; og det skete saa.
01010a005f	Og Gud kaldte det tørre Jord, og Vandenes Samling kaldte han Hav; og Gud saa, at det var godt.
01010b00a7	Og Gud sagde: Jorden lade fremvokse Græs, Urter, som give Sæd, frugtbare Træer, som bære Frugt efter sit Slags og have sin Sæd i sig paa Jorden; og det skete saa.
01010c00a1	Og Jorden frembragte Græs, Urter, som gave Sæd efter sit Slags, og Træer, som bare Frugt og havde sin Sæd i sig efter sit Slags; og Gud saa, at det var godt.
01010d0032	Og der blev Aften, og der blev Morgen, tredje Dag.
01010e00bb	Og Gud sagde: Der vorde Lys paa Himmelens udstrakte Befæstning, at gøre Skilsmisse imellem Dagen og imellem Natten; og de skulle være til Tegn og til bestemte Tider og til Dage og Aar.
01010f0069	Og de skulle være til Lys paa Himmelens udstrakte Befæstning til at lyse over Jorden; og det skete saa.
010110006d	Og Gud gjorde de to store Lys, det store Lys at regere Dagen og det lille Lys at regere Natten og Stjernerne.
010111004c	Og Gud satte dem paa Himmelens udstrakte Befæstning til at lyse over Jorden
0101120076	og til at regere om Dagen og om Natten og til at skille imellem Lyset og imellem Mørket; og Gud saa, at det var godt.
0101130032	Og der blev Aften, og der blev Morgen, fjerde Dag.
0101140087	Og Gud sagde: Vandet vrimle med en Vrimmel af levende Væsener, og Fugle skulle flyve over Jorden imod Himmelens udstrakte Befæstning.
01011500be	Og Gud skabte de store Havdyr og alle Haande levende Væsener, som krybe, hvilke vrimle i Havet, efter sit Slags og alle Haande Fugle med Vinger efter sit Slags; og Gud saa, at det var godt.
0101160084	Og Gud velsignede dem og sagde: Vorder frugtbare og mangfoldige, og fylder Vandene i Havet, og Fuglene vorde mangfoldige paa Jorden.
0101170031	Og der blev Aften, og der blev Morgen, femte Dag.
0101180083	Og Gud sagde: Jorden frembringe levende Dyr efter sit Slags, Fæ og Kryb og vilde Dyr paa Jorden efter sit Slags; og det skete saa.
0101190096	Og Gud gjorde vilde Dyr paa Jorden efter sit Slags og Fæ efter sit Slags og alle Haande Kryb paa Jorden efter sit Slags; og Gud saa, at det var godt.
01011a00d3	Og Gud sagde: Lader os gøre et Menneske i vort Billede, efter vor Lignelse; og de skulle regere over Havets Fiske og over Himmelens Fugle og over Fæet og over al Jorden og over alt Kryb, som kryber paa Jorden.
01011b0064	Og Gud skabte Mennesket i sit Billede, han skabte det i Guds Billede; Mand og Kvinde skabte han dem.
01011c00df	Og Gud velsignede dem, og Gud sagde til dem: Vorder frugtbare og mangfoldige, og opfylder Jorden, og gører eder den underdanig, og regerer over Havets Fiske og over Himmelens Fugle og over hvert Dyr, som kryber paa Jorden.
01011d00b8	Og Gud sagde: Se, jeg har givet eder alle Urter, som give Sæd, som ere over al Jorden, og alle Haande Træer, i hvilke er Træers Frugt, som have Sæd; de skulle være eder til Føde.
01011e00b0	Og alle Dyr paa Jorden og alle Fugle under Himmelen og alt Kryb paa Jorden, i hvilke er en levende Sjæl, har jeg givet alle Haande grønne Urter til at æde; og det skete saa.
01011f0076	Og Gud saa alt det, han havde gjort, og se, det var meget godt; og der blev Aften, og der blev Morgen, den sjette Dag.
010201003a	Og Himmelen og Jorden bleve fuldkommede, og al deres Hær.
0102020095	Og Gud havde fuldkommet paa den syvende Dag sin Gerning, som han havde gjort, og hvilede paa den syvende Dag fra al sin Gerning, som han havde gjort.
