0100000007	Jenesis
010101002e	Ese agafare Anumzamo'a monane mopane trohu'ne.
0101020097	Ama mopama fore osu'nerera, mago zana omnetfa hu'neane. Hankino tusi'a hanimo tina refite'negeno, ana timofo agofetura Anumzamofo Avamumo vono nehiane.
010103003f	Anante Anumzamo'a huno, Masa fore hino! higeno masa fore hu'ne.
010104004a	Hagi masamo'a knare higeno Anumzamo'a keteno, masane haninena refko hu'ne.
0101050087	Anumzamo'a masagura zagegane huno agi'a nemino, kumazukura hanine huno agi'a ami'ne. Hanki hani huno ko'matigeno'a, pusankna emente'ne.
0101060058	Hagi tinke me'negeno Anumzamo'a huno, Mago kankamu amu'nompina me'neno tina refko hanie.
0101070055	Huteno Anumzamo'a tina refkohu fenka netreno, hunagamu atregeno, kankamu efore hu'ne.
0101080068	Anumzamo'a ana kankmumofona agi'a mone huno ante'ne. Hanki haninkino masa higeno, nampa 2 kna emente'ne.
0101090089	Anante Anumzamo'a huno, Timo'a monamofo hinkanaga mago kaziga eri zogino evanigeno, ho'mu mopa fore hanie, huno higeno anaza efore hu'ne.
01010a009d	Anumzamo'a hagagema hiankazigagura mope nehuno, tima evazu huno omeri atruma hiantinkura, hagerine huno hu'ne. Anumzamo'ma anazama kegeno'a, e'i knare hu'ne.
01010b013a	Hagi Anumzamo'a amanage huno hu'ne, Mopafinti maka'za hagesie. Za'ara zane zafane rumofo rumofo raga'a revava hanaza zantamimo'za hagesaze. Ragazmifina avima'a efore hanie! Hanige'za zafa rgama rentesazana e'i zamagu'afinka avima'amo'za zamagri'agna raga rentesaze. Hige'za mopafina ana zantamimo'za efore hu'naze.
01010c0137	Ana nehazage'za mopafina ruzahu ruzahu trazana erifore nehazageno, ruzahu ruzahu ne'zampina avima'a me'nea rentageno, avima'amo'a agragna raga fore nehigeno, zafa rgama renteana e'i agu'afinka avima'amo'za zamagri'agna huno nemegeno, avima'a rentetere hu'ne. Hanki Anumzamo'ma anazantamima kegeno'a knare hu'ne.
01010d002c	Haninkino masa higeno nampa 3 kna emente'ne.
01010e0087	Hagi Anumzamo'a huno, Tavitamimo'za mona kankamumpi me'neza, masane haninena refko nehu'za, kafugi, zagegi, ko knagi hanagu nemesageno,
