0100000018	उत्पत्ति
0101010067	शुरु मा परमेश्वर सोरग आरु धरती क बनायो।
010102013d	धरती क बनावट नी हुती आरु सुनली पड़तली हुती, आरु उन्डा जळ क उपोर आंधारो हुतो; एने परमेश्वर क आत्मा जळ क उपोर मण्डरायतो हुतो।
0101030086	ती परमेश्वर न कयो, “विजाळो होय,” ती विजाळो होय गोयो।
01010400ed	आरु परमेश्वर न विजाळा क देख्‍यो कि वारु छे; आरु परमेश्वर न विजाळा क आंधारा सी ओलोग कोर्‌यो।
0101050146	आरु परमेश्वर न विजाळा क दाहड़ो आरु आंधारा क रात कोयो। एने सांतो हुयो आरु ओळतेन सोंदारो हुयो। ओस कोरीन पेहलो दाहड़ो होय गोयो।
01010600b4	ओळतेन परमेश्वर कयो, पानीन वीच एक ओसो गाळो होय कि जळ दुय वाटाम होय जाय।
01010701f3	ती परमेश्वर न एक गाळो कोरीन ओका नेचा क जळ आरु ओका उपोर क ओलोग कोर्‌यो; आरु ओसोत होय गोयो। आरु परमेश्वर न इना गाळा क वादळो कयो। एने सान्तो हुयो ओळतेन सोंदारो हुयो। ओस कोरिन दुसरु दाहड़ु होय गोयु।
01010800e8	आरु परमेश्वर न हेका आकाश कोयो। एने सांतो हुयो ओळतेन भोर हुयो। एने रीते दुसरु दाहड़ु होयु।
0101090123	ओळतेन परमेश्वर न कयो, “वादळा क नेचो जळ एक जागा मा एकठो होय जाय आरु सुकली जागा देखा पोड़े,” आरु ओसोत होय गोयो (2 पत 3:5)
01010a0123	आरु परमेश्वर न सुकला जागाक कोळी कोयो, एने जो जळ एकठो हुयो ओको हुयो दोरिया कोयो; आरु परमेश्वर न देख्यो कि वारु छे।
01010b01d3	ओळतेन परमेश्वर न कयो, “धोरती सि निळ्ळो खोड़ो, एने बिजावाळा नानला झाड़ आरु फोव आपन्या झाड़ वी जेनदरा बिजा हेना मा एक एक जाती क ओनसारे रोहे कोळी पोर उगे,” आरु होसोत हुय गोयो। (1 कुरि 15:38)
01010c01db	ओस कोरीन कोळी सि निळ्ळो खोड़ो, आरु नानला झाड़े जिनाम आपसी जाति क ओनसारे बिज रोहे, आरु फोव आपन्या झाड़ जेन्दरा बिजा एक एक क जाति क ओनसारे हेरेमा छे उगे; आरु परमेश्वर न देख्यो कि वारु छे।
01010d00b0	एने सांतो हुयो ओळतेन सोंदारो हुयो। ओस कोरिन तिसरो दाहड़ो होय गोयो।
01010e0168	ओळतेन परमेश्वर न कयो, “दाहड़ा क रात सी अलोग करने क लिय वादळा क गाळा मा विजाळो होय; आरु ये सोहलानी, आरु खोरी टेम, आरु दाहड़ा, आरु साल क कारण होय;
01010f00dd	आरु यो विजाळ्ळो वादळा क गाळा मा कोळी पोर विजाळो आपन्यो वी कोवाये,” आरु ओसोत हुय गोयो।
01011001af	ती परमेश्वर न दुय मोटला विजाळा बोनायो; हेनामा सी मोटलो विजाळो क दिसु पोर राज कोरने क लिय, आरु नानला विजाळा क रात पोर राज कोरने क लिय बोनायो; आरु तारामन्डळीक बी बोनायो।
01011100ca	परमेश्वर न ओको वादळा क गाळा मा ओतरान कोरिन मेक्यो की हुये कोळी पोर विजाळो आपे,
01011200f6	एने दिस आरु रात पोर राज कोरे आरु विजाळा क आंधारा सि ओलोग कोरे; आरु परमेश्वर न देख्यो कि वारु छे।
01011300ad	एने सांतो हुयो ओळतेन सोंदारो हुयो। ओस कोरीन चोथो दाहड़ो हुय गोयो।
010114010c	ओळतेन परमेश्वर न कयो, “जळ जिवतला जिवो सी बेसको भोराय जाय, आरु चिल्‌ला कोळी क उपोर वादळा क गाळा मा उड़े।”
0101150215	ओतरान कोरिन परमेश्वर न जाति क मोटा जळ जिवो क आरु हेनु सब जिवतला जिवो क वी बोनायो जे चालता फिरता छे जेनासी जळ बेसका भोराय गोया आरु एक एक जाति क उड़नेवाळा चिल्‌ला क वी बोनायो; आरु परमेश्वर न देख्यो कि वारु छे।
0101160127	परमेश्वर न यो कोहीन ओको बोरकोत आप्यो, “फुलो फलो, आरु दरिया क जळ मा भोयार जावु, आरु चिल्‌ला कोळी पोर बेसका होय जाय।”
01011700ad	एने सांतो हुयो ओळतेन सोंदारो हुयो। ओस कोरीन पाचवो दाहड़ु हुय गोयो।
01011801b2	ओळतेन परमेश्वर न कयो, “कोळी सी एक एक जाति क जिवतला जिवे, यानी घोरुन ढुरे, आरु रेंगनेवाळा जिवे, आरु कोळी क जोंगली ढुरे, जाति जातिन क ओनसारे पोयदा होये,” आरु ओसोत होय गोयो।
01011901c8	ओस कोरीन परमेश्वर न कोळी क जाती जाति क जोंगली ढुरो क आरु जाति जातिन क घोर पावन्या ढुरो क, आरु जाति जातिन क कोळी पोर सब रेंगनेवाळा जिवो क बोनायो; आरु परमेश्वर न देख्यो कि वारु छे।
01011a022f	ओळतेन परमेश्वर न कयो “हामु मानुस क आपसा रुपो क ओनसारे आपने जोसा बोनावजे; आरु हुये दोरिया क माछा, आरु वादळा क चिल्‌ला आरु घोरपावन्या ढुरो, आरु आखी कोळी पोर, आरु सब रेंगनेवाळा जिवो पोर जो कोळी पोर रेंगे छे, हुकुम राखे।”
01011b0186	ती परमेश्वर न मानुसक आपसा रुपो क ओनसारे बोनायो, आपसात रुपो क ओनसारे परमेश्वर न ओको पोरदा कोर्‌यो; नर आरु नारी कोरीन हुयो मानुस क बोनायो। (मत्ती 19:4, मर 10:6)
01011c0202	आरु परमेश्वर न हेनुक बोरकोत आप्यो; आरु हेनुक कोयो, “फुलो फलो, आरु कोळी मा भोराय जावु, आरु ओको आपसा होको मा कोर लेवु; आरु दोरीया क माछा, एने वादळा क चिल्‌ला, आरु कोळी पोर रेंगनेवाळा सब जिव पोर होक राखे।”
01011d011f	ओळतेन परमेश्वर न हेनु सी कोयो, “सोमळु, जोतरा बीजवाळा फोव रोहे, चे सब हांव तुमुक आपलु छे; हुये तुमरा खाने क लिय छे
01011e01cb	आरु जोतरा कोळी क ढुरे, आरु वादळा क चिल्‌ला, आरु कोळी पोर रेंगनेवाळा जिवे छे, जिनामा जिवन क जिव छे, हेनु सब क खाने क लिय हांव सब निळ्ळा निव्ळा नानला झाड़ आपलो छे,” आरु ओसोत होय गोयो।
01011f0197	ती परमेश्वर न जो काई बोनायो हुतो, सब क देख्यो, ती काय देख्यो, कि हुयो बेसको वारु छे। एने सांतो हुयो ओळतेन सोंदारो हुयो। ओस कोरीन छटवो दाहड़ो होय गोयो। (1 तीमु 4:4)
010201009e	इनी रीतिये सोरोग आरु धरती आर जो काय ओका मा छे उनी आखी चीज बनी।
0102020134	आरु परमेश्वर न आपसो काम जो हुयो कोरतो हुतो सातवे दाहड़े सार देदु, आरु हुये आपसा कोरला काम सी सातवे दाहड़े आराम कोर्यु।
010203013a	आरु परमेश्वर न सातवा दाहड़ा क बोरकोत आप्यो आरु चुखलो कोयो; काहकी हेनामा हुयो कोळी क घोड़ीन आपसो आखो कामो सी आराम कोर्यु।
010204013c	वादळा आरु कोळी क उबेजनो क वाराम यो छे की जोत्यार हुये पयदा होया यानी जेने दाहड़े योहोवा परमेश्वर न कोळी आरु वादळा क बोनाय:
01020501c8	ती खोयड़ा क काई पोवधो कोळी पोर नी हुतो, आरु नी खोयड़ा क काई नानो झाड़ उगलो हुतो, काहकी योहोवा परमेश्वर न कोळी पोर जळ नी पाड़्यु होतु, आरु कोळी पोर खेती करने क लिय मानुस वी नी हुतो;
01020600ba	ते वी धुरो कोळी सी उठतो होतो तेरे सी कोळी पोर पानी देदला जोसो होय जातलो।
0102070120	ती योहोवा परमेश्वर न आदम क कोळी क धुळा सी बोनायो, आरु ओका नाको मा जिवन क सास फुक देदो; आरु आदम जिवतो जीव बोन गोयो।
0102080111	आरु योहोवा परमेश्वर न उगेवनो अदन मा एक वाड़ी लागाड़्यो, आरु होंया आदम क जेनाक हुयो बोनायो होतो, मेक देदो।
0102090205	आरु योहोवा परमेश्वरन कोळी सी सब भाती क झाड़, जे देखने मा घोन वारु जेनाक खाने मा वारु छे, उगाड़्यो, आरु वाड़ी क वीच मा जिवन क झाड़ क आरु वारु एने भुण्डा क गियान क झाड़ क वी लागाड़्यो। (प्रकाशितवाक्य 2:7, 22:2,14)
01020a0106	हेनी वाड़ी क पानी देने क लिय एक मोटली नोदी अदन सी निकोळी आरु होंया सी ओगी उहवीन चार भागो मा वाटाय गोय।
01020b00e4	पेहली धारा क नाव पीशोन छे; यी ची छे जी हवीला नाव क आखो देश क जाँ सोनो छे, च्यारो मेर घेर रय।
01020c00b6	हेना देश क सोनो चुखो छे; होंया मोती आरु सुलेमानी दोगड़ा वी जोड़तला छे।
01020d00a4	दुसरी नदी क नाव गीहोन छे; यी ची छे जी कुश क आखा देश क घेरवायली छे।
01020e0105	आरु तीसरी नोदीन नाव हिद्देकेल छे; यी ची छे जी अश्‍शुर क उगेवनो भिनी उहवे। आरु चोथी नोदीन नाव फरात छे।
01020f0104	ती योहोवा परमेश्वर न आदम क लीन अदन क वाड़ी मा मेक देदो, कि हुयो हेरेम काम कोरे आरु वाड़ी क गुवाळी करे।
01021000fa	आरु योहोवा परमेश्वर न आदम क यो हुकुम आप्यो, तु वाड़ी क आखा झाड़ क फोव विगुर निसंदेह खाय सोकतलु छे;
0102110166	बाखुन वारु भुण्डान क गियान क जो झाड़ छे, ओको फोव ती कोदी झुनी खाय: काहकी जेने दाहड़े तु हेना फोव क खाईस तेने दाहड़े छाचीन मोर जाईस (रोमियो 6:23)
0102120120	ओळी योहोवा परमेश्वर न कयो, “मानुसक एखलो रयनो वारु नी हयस; हांव एरे जुगु एक ओसो सहायक बोनावीस जो एरे सी मेळ खाय।”
0102130244	आरु योहोवा परमेश्वर कोळी मा सी सब जाती क बनेला ढुरे, आरु वादळा क सब भाती क चिल्‌ला क बोनावीन आदम क पास ली आयो कि देख्यो कि हुयो हेन्दरो नाव काय काय पाड़े; आरु जिना जिनान जिवतला जिव क जो जो नाव आदम न पाड़्यो चोत ओको नाव होय गोयो।
0102140189	अत: आदम न सब जाति क घोरोन ढुरो, आरु वादळ क चिल्‌ला, आरु सब जाती क बनेले ढुरो क नाव पाड़्यो; बाखुन आदम क लिय कोय ओको सहायक नी जोड़्यो जो हेरे सी मेळ खाय सोके।
0102150156	ति योहोवा परमेश्वर न आदम क भारी नींदो मा सुवाड़ देदो, आरु जोत्यार हुयो सुय गोयो ती हुयो ओकी एक पासळी निकाळीन हेरे जागे मास भोर देदो।
010216010a	आरु योहोवा परमेश्वर न ओकी पासळी क जो हुयो आदम मासी निकाळ्यो हुतो, बायर बोनाय देदो; आरु आदम क पास ली आयो।
01021701d4	ती आदम न कयो, हिमी यी मारु हाड़की मा की हाड़की आरु मारा मास मा क मास छे; ओतरान कोरिन एरो नाव नारी होयसे, काहकी यी नर मासी निकवली गोयली छे। (उत्पत्ति 29:14, 2 शामुएल 5:1, 1 कुरिन्थियो 11:8, 1 तिमु, 2:13)
010218012d	इने रिते मानुस आसी बासाक छुड़ीन आपसी घोरवाळी सी मिलीन रोहसे, आरु हुये एकुत डील बोनला रोहसे। (मत्ती 19:5, 1 कुरि. 6:16, इफि. 5:31)
010219009e	आदम आरु ओकी घोरवाळी दुयु नांगा होता, बाखुन लाजवायता नी होता।
01030101ef	योहोवा भगवान जतरा जंगली जोनवारीयान क बोनायो हुतो, हेनु सब मा घोड़सो धुर्त हुतो; हुयो बाई सी कयो, काय छाचीन छे कि परमेश्वर न कयो, तुमु इनी वाड़ी क काहना झाड़ोन फोव नी खानो (रोम 12:9, योएल 8:44, प्रका. 20:2)
0103020096	बाई न घोड़सा सी कोहि, इनी वाड़ी क झाड़ क फोव हामु खाय सोकजे;
