2800000009	ማቶሳ
2801010058	ዳዉተ ናአ አፍራመ ናአ ማቄዝ የሱስ ክርስቶሳ የለትꬅ።
280102007f	አፍራመ እሳቃ የሌዛ፤ እሳቃ ያይቆባ የሌዛ፤ ያይቆባ ይሁዳራኔ ኤ እሽታ የሌዛ፤
280103007f	ይሁዳ ትእማርፕ ፓረሳኔ ዛራ የሌዛ፤ ፓረሳ አስሮመ የሌዛ፤ አስሮማ ራመ የሌዛ፤
2801040074	ራመ አምናዳባ የሌዛ፤ አምናዳባ ናአሶና የሌዛ፤ ናአሶና ሳልሞነ የሌዛ፤
2801050085	ሳልሞና ራአብፐ ቦኤዛ የሌዛ፤ ቦኤዛ ኡርትፐ ኢዮቤደ የሌዛ፤ ኢዮቤደ ኢሳየ የሌዛ፤
2801060069	ኢሳየ ካታ ዳውተ የሌዛ፤ ካት ዳውተ ኦርዮ ማቻትፐ ሶሎሞነ የሌዛ፤
280107006b	ሶሎሞነ ሮብአማ የሌዛ፤ ሮብአመ አብያ የሌዛ፤ አብየ ኣሳፈ የሌዛ፤
2801080074	ኣሳፈ ኢዮሳፈጸ የሌዛ፤ ኢዮሳፍጸ ኢዮራመ የሌዛ፤ ኢዮራመ ኦዛኔ የሌዛ፤
2801090071	ኦዛኔ ኢዮአታመ የሌዛ፤ ኢዮአታመ አካዛ የሌዛ፤ አካዛ ህዝቃሳ የሌዛ፤
28010a0068	ህዝቃሳ ምናሰ የሌዛ፤ ምናሰ አሞጻ የሌዛ፤ አሞጻ ኢዮሳሳ የሌዛ፤
28010b0090	ኢዮሳሳ ኢኮናናራኔ ኤ እሽታ የሌዝ ያ ላይꬅተ እስሬለ አሳይ ድእንቲ ባብሎነ ቢታ Ꮊንጌዛ።
28010c00a8	ባብሎነ ቢታ እስሬለ አሳይ ድእንቲ Ꮊንጌዛይፕ ጉዬ ኢኮናና ሳላትያለ የሌዛ። ሳላትያለ ዘሩባበላ የሌዛ፤
28010d007a	ዘሩባበላ አብድዩ የሌዛ፤ አብድዩ ኤልያቀመ የሌዛ፤ ኤልያቀመ ኣዞራ የሌዛ፤
28010e0065	ኣዞራ ሳዶቀ የሌዛ፤ ሳዶቀ አክመ የሌዛ፤ አክመ ኤልዩዳ የሌዛ፤
28010f006e	ኤልዩዳ አላዛራ የሌዛ፤ አላዛረ ማታነ የሌዛ፤ ማታነ ያይቆባ የሌዛ፤
2801100075	ያይቆባ ዮሴፋ የሌዛ፤ ዮሴፋ ክርስቶሳ ግዝ የሱሳና የሌዝ ማይራሚ አዝና።
2801110112	ይኬ፥ የለትꬅ አፍራመፕ ዳዉተ ሄሎዳይስ ታጶ ኦይደ። ዳዉተፕ Ꮊንጊ ባብሎነ ድአ ሄሎዳይስ ታጶ ኦይደ። ባብሎነ ድአይፕ Ꮊንጊ ክርስቶሳ ሄሎዳይስ ታጶ ኦይዲ የለትꬅ ማቅዛ።
28011200d7	የሱስ ክርስቶሳ የልንቶ ታርካይ Ꮊይፕ ካልዛ። ኤ እንዳት ማይራማ ዮሴፋስ ኦይጭንቲ የዛር ዮሴፋር ዎላ አቀካዛር ጌሻ አያናፕ ዎደጼዛ።
280113008e	ዮሴፋ ጌሻ አስ ማቄዝ ግሾ እዞ አሲ ኦዶዳይ ጋርክ ኮየካዛይ ግሾስ ጌማር አሾዳይስ ቆፔዛ።
28011400eb	ኤ የ ቆፋል የዝን ጾሳ ኪታንቻይ አቡካር ኤስ በንቲ፥ «ዳዉተ ናአ፥ ዮሴፋ፥ ማይራማ ዎደጼዛይ ጌሻ አያናፕ ማቄዝ ግሾ እዞ ኤኮዳይስ ያሽትፐ» ዬጌዛ።
2801150087	እዛ ꬍራꬅ ናአ የሎዳ፥ ኤ ዎይታ ኡ ናጋራይፕ አሽዛይ ግሾ ኤ ሱንꬃ ነ የሱሳ ግ ጼጎዳ።
2801160020	ጎዳይ ናባይ ዶናር፥
2801170111	«ይኬ ዉድርታ ዎደጾዳ፤ ꬍራꬅ ናአካ የሎዳ፤ ኤ ሱንꬃይ አማኑኤላ ግንትንቶዳ» ጌዛይ ፖልንቶዳይ ጋርክ Ꮊ ኡባይ ሀኔዛ። አማኑኤላ ጉሳይስ ብርሽꬃይ «ጾሳይ ኑር የዛ» ጉሲ።
2801180079	ዮሴፋ ገንታፕ ባርኪ ጎዳይ ኪታንቻይ ኪቴዛይ ጋርክ ማይራሞ ፋ ካራ ካንጌዛ።
2801190078	ዝን ፋ ባይራ ናአ የሎድ ጋꬆ እዞ ቦቼካያ፤ የልንቴዝ ናአካ የሱሳ ጊ ጼጌዛ።
28020100bb	ካት ሄሮዶሳ ዎደ የሱሳ ይሁዳ ቢታ ቤተለመ ካታማ የልንቴዛይፕ ጉየ ጾልንቶ ፍላግዝታይ አዋ ከስ ባጋፕ የሩሳላመ ይኢ፥
28020200b7	«የልንቴዝ አይሁድታይ ካታይ አባ የኔ? ኑ አዋ ከስ ባጋር ከዜዝ ጾልንቶ ብኢ ኤዝስ ጎይኖዳይስ የኤዛ» ዬጊ ኦይጬዛ።
280203006c	ካት ሄሮዶሳ የያ ስኢ ዳጋሜዛ። የሩሳላመ የዝ አስ ኡባይካ ዳጋሜዛ።
280204009e	ሄሮዶሳ ቄሰ ሀላቅታኔ ህገ አስታማርታ ፋኮ ጼጊ «ክርስቶሳ አባ የልንቶደሻ?» ዬጊ ኡንታን ኦይጬዛ።
2802050035	ኡንትካ፥ «ይሁዳ ቤተለመ ናባይ፥
2802060106	«‹ይሁዳ የዝ ቤተለመ፥ ይሁዳ የዝ ጋደ አቅስዝታይፕ፥ ነ አባራካ ካዉዦያ። ታ ዎያ እስሬለ ሃርዛይ፥ ኔፕ ከዞዳ ኤካ ታ ዎያ እስሬለ ሄንግዛ ማቃዳ› ግ ጻፌዛ» ዬጌዛ።
28020700b3	የይፕ ጉየ፥ ሄሮዶሳ አዋ ከስ ባጋፕ የኤዝ አስታ ጌማር ጼጊ፥ ጾልንቶ ኡ በኤዝ ላይꬃ ኡንታፕ ሎእꬅ ኦይጪ ኤሬዛ።
28020800e4	ኤ ኡንታን ቤተለመ ዳክታር፥ «Ꮊንጊ የልንቴዝ ናአ ሚንꬂ ኮዦይታ፤ ኤዛ ይ ደንግኮ ታካ Ꮊንጊ ኤዝስ ጎይኖድ ጋርክ ማቅታር ታስ ኦዶይታ» ዬጌዛ።
28020900e9	ኡንትካ ካታይ ሄሮዶሳ ኦዴዛና ስኢ ቅቴዛ። ኡ አዋ ከስ ባጋር በኤዝ ጾልንታይ ኡንታን ካልꬂታር ናአይ የዛ አቃይድ ኤቆድ ሄሎዳይስ ካንጊ ሄልꬄዛ።
28020a004c	ኡ የ ጾልንታ ብኢ አቆፕ ኣꬎ ኡፋይስ ኡፋይቴዛ።
28020b00c9	ካራ ገሊ ናአይ ፋ እንዳት ማይራምር የዛና በኤዛ። ኤስ ጹጉኒ ጎይኔዛ። ፋ ሳጽና ዶዪ ዎርቀራ፥ እጻነራኔ ካርበራ ኤስ እንጌዛ።
28020c008b	ኡ ሄሮዶሳኮ ጉየ ማቃማይ ጋርክ ጾሳይ አቡካር ኡንትስ ኦድን፥ ሀራ ኦገር ፋ ቢታ ማቄዛ።
28020d0184	አዋ ከስ ባጋፕ የኤዝ አሳይ ቅቴዛይፕ ጉየ፥ ጎዳይ ኪታንቻይ ዮሴፋስ አቡካር በንቲ፥ «ሄሮዶሳ ናአና ዎꬎዳይስ ኮይዝግሾስ ደንዶባ፤ ኤልሲ ናአይራ ናአይ እንዳትራ ኤኪ ግብጸ ቢታ Ꮊንጎባ። ነ ማቃድ ጋላሳ ኔስ ኦዶድ ጋꬆ ኤዛይድ ጋምኦባ» ዬጌዛ።
28020e007c	የይ ግሾስ፥ ዮሴፋ ቃማር ደንዲ፥ ናአይራ ናአይ እንዳትራ ኤኪ ግብጸ Ꮊንጌዛ።
28020f00d6	ናበ ዶናር ጾሲ፥ «ታኒ፥ ታ ናአ፥ ግብጸ ቢታፕ ጼጌዛ» ግንትንቴዝ ቃላይ ፖልንቶድ ጋርክ ሄሮዶሳ Ꮊይቆድ ሄሎዳይስ ኤ ኤዛይድ ጋምኤዛ።
