2800000006	Matayo
280101004b	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
2801020054	Abulahamu kamulela Isaka, Isaka kamulela Yakobo, Yakobo kamulela Yuda na ndugu zake.
2801030065	Yuda kamulela Pelesi na Zela, mamao kakala Tamali, Pelesi kamulela Heziloni, Heziloni kamulela Alamu.
2801040050	Alamu kamulela Aminadabu, Aminadabu kamulela Nashoni, Nashoni kamulela Salimoni,
2801050079	Salimoni kamulela Boazi, mamake Boazi kakala Lahabu, Boazi kamulela Obedi, mamake Obedi kakala Lusi, Obedi kamulela Yese,
280106005a	Yese kamulela Mndewa Daudi. Daudi kamulela Sulemani, mamake Sulemani kakala mwehe wa Ulia.
280107004a	Sulemani kamulela Lehoboamu, Lehoboamu kamulela Abiya, Abiya kamulela Asa,
280108004c	Asa kamulela Yehoshafati, Yehoshafati kamulela Yolamu, Yolamu kamulela Uzia,
2801090044	Uzia kamulela Yotamu, Yotamu kamulela Ahazi, Ahazi kamulela Hezekia,
28010a0045	Hezekia kamulela Manase, Manase kamulela Amoni, Amoni kamulela Yosia,
28010b005b	Yosia kamulela Yekonia na ndugu zake, kipindi kija Wayahudi viwahamizigwe kugaligwa Babeli.
28010c005b	Viubitile uhamizo wa Babeli, Yekonia kamulela Shealitieli, Shealitieli kamulela Zelubabeli,
28010d004e	Zelubabeli kamulela Abiudi, Abiudi kamulela Eliakimu, Eliakimu kamulela Azoli,
28010e0044	Azoli kamulela Sadoki, Sadoki kamulela Akimu, Akimu kamulela Eliudi,
28010f004b	Eliudi kamulela Eliazali, Eliazali kamulela Matani, Matani kamulela Yakobo,
280110004f	Yakobo kamulela Yusufu, mbigalo wake Malia, yamulelile Yesu yokemigwa Kilisito.
28011100e1	Avo kukala na ng'holo longo na nne kulawa Abulahamu mbaka Daudi, na ng'holo longo na nne kulawa Daudi mbaka Wayahudi viwahamizigwe Babeli na ng'holo longo na nne toka viwahamizigwe Babeli mbaka kuleleka kwa Kilisito Mkombola.
28011200c0	Kuvumbuka kwa Yesu Kilisito kukala vino, Malia yafungiligwe zengele na Yusufu, lakini wang'hali hawanakala hamoja kamba mbigalo na mtwanzi, Malia koneka kana inda kwa udahi wa Loho Yang'alile.
2801130070	Kwavija Yusufu kakala munhu yotenda ganogile, halondile kumgela kinyala Malia, avo kalonda kumuleka kinyelegezi.
28011400dc	Viyakalile kogelegeza vivo, msenga wa kuulanga wa Mndewa kamulawilila mzinzozi na kamulongela, “Yusufu mzukulu wa Daudi, sekeudumbe kumsola Malia yawe mwehe wako, kwavija inda yake kaipata kwa udahi wa Loho Yang'alile.
280115006a	Kolela mwana wa kimbigalo na gweye komgwaa twaga da Yesu, kwavija kowakombola wanhu zake mzinzambi zao.”
2801160056	Gano gose gatendeka kutenda galongigwe na Mndewa kubitila mtula ndagu wake galawilile,
280117007c	“Mhambe kogoga inda, na kolela mwana wa kimbigalo, nao womkema Imanueli,” fambulo jake, “Mulungu kahamoja na tweye.”
2801180057	Avo Yusufu viyalamuke muutulo, kamsola Malia kamba viyalongeligwe na imsenga wa Mndewa.
2801190054	Lakini hatembele nayo mbaka viyalelile mwana na Yusufu kamgwaa twaga mwana ayo Yesu.
28020100c8	Yesu kavumbuka kudibuga da Beselehemu mwiisi ya Yudea, kipindi Helode viyakalile Mndewa. Aho viyavumbuke wanhu wayagwe wajuwile mbuli za nhondo weza kulawa mwambu wa kudilawila zuwa wavika Yelusalemu.
2802020096	Wauza, “Kakwahi imwana yavumbuke yawe Mndewa wa Wayahudi? Kwavija tuyona nhondo yake kulawa mwambu wa kudilawila zuwa na tweye twiza kumfugamila.”
2802030069	Mndewa Helode viyahulike vivo kanyawanyawa ng'hani na vivija kila munhu yakalile Yelusalemu kanyawanyawa.
280204007d	Kawakema hamoja wakulu wa walava nhosa na wafundiza Malagizo ga Musa kawauza, “Vino Kilisito Mkombola kovumbukila kwahi?”
2802050066	Wamwidika, “Kovumbukila kudibuga da Beselehemu mwiisi ya Yudea, vivo yandike mtula ndagu wa Mulungu,
28020600b2	‘Mweye wanhu wa Beselehemu mwiisi ya Yudea, buga jenu hadili dodo bule mna gamabuga ga Yuda, kwavija kumwenu kolawa mulangulizi yonda yawalongoze wanhu zangu wa Izilaeli.’”
2802070067	Avo Helode kawakema kinyelegezi wanhu waja wojuwa mbuli za nhondo kawauza kipindi gani nhondo viyoneke.
2802080095	Abaho kawatuma wachole Beselehemu na kuwalagiza, “Choleni mkazahile goya kuyali imwana, mwahamona nongeleni, nanie vivija nichole nikamfugamile.”
2802090093	Viwamalile kumtegeleza, walawanya, mnzila wayona nhondo iija iwayone mwambu wa kudilawila zuwa, iwalongolela na kwima hanhu aho kuyavumbuke imwana.
28020a0028	Viwayone inhondo, wadeng'helela ng'hani.
28020b00a6	Avo wengila mng'anda, wamona imwana na Malia mamake, wamfugamila na kumtambikila. Abaho wamgwaa nhunza za zahabu, mavumba na mavuta ga bei ng'hulu gokemigwa manemane.
28020c0069	Abaho wabwela ukayao kwa kubitila nzila iyagwe, kwavija Mulungu kawazuma mzinzozi sekewabwele kwa Helode.
28020d00d2	Viwasegele msenga wa Mndewa kamulawilila Yusufu mzinzozi kamulongela, “Helode komzahila imwana yamkome. Avo lamuka umsole imwana na mamake mkimbilile Misili, na mukale kuko mbaka vonda nikulongele usegele.”
