2b00000004	John
2b04150083	Jesus told her, “Woman, believe me, a time is coming when you will worship the Father neither in this mountain, nor in Jerusalem.
2b04160066	You Samaritans worship what you don’t know. We worship what we know, for salvation is from the Jews.
2b041700a4	A time is coming, and has now come, when the true worshipers will worship the Father in spirit and truth, for they are the kind of worshipers that the Father seeks.
2b0418004d	God is spirit, and those who worship Him must worship in spirit and truth.”
2b04190087	The woman said to Him, “I know that the Messiah (who is called Christ) is coming. When He comes, He will explain everything to us.”
2b041a002f	Jesus told her, “I who speak to you am He.”
2b041b00ad	Just then Jesus’ disciples returned. They were surprised to find him talking with a woman, but no one asked, “What do you want?” or “Why are you talking with her?”
2b041c005a	Then, leaving her water jar, the woman went back to the town and began telling the people,
2b041d0057	“Come, see a man who told me everything that I ever did. Could this be the Christ?”
2b041e0034	They went out of the city, and started to go to Him.
2b041f0046	Meanwhile, the disciples urged Him, saying “Rabbi, eat something.”
2b04200043	He told them, “I have food to eat that you don’t know about.”
2b04210057	So the disciples asked one another, “Nobody brought Him anything to eat, did they?”
2b0422005d	Jesus told them, “My food is to do the will of Him who sent me, and to accomplish His work.
2b0423009a	Don’t you say, ‘It’s still four months until the harvest’? Look, I tell you, lift up your eyes, and look at the fields! They are ripe for harvest.
2b04240094	He who harvests is already receiving wages, and is gathering fruit for eternal life, so that he who plants and he who harvests may rejoice together.
2b0425003e	Thus the saying ‘One plants and another harvests’ is true.
2b04260077	I sent you to harvest that for which you didn’t labor. Others have labored, and you have entered into their labor.”
2b04270081	Many Samaritans from that town believed in Jesus because of the woman’s testimony, “He told me everything that I ever did.”
2b0428005f	So when the Samaritans arrived, they asked Him to stay with them, and He stayed there two days.
2b04290028	Many more believed because of His words.
2b042a00bf	They told the woman, “It’s no longer just because of what you said that we believe, for we have heard for ourselves, and we know that this is truly the Savior of the world, the Christ.”
2b042b003f	After the two days, He departed from there and went to Galilee,
2b042c004b	for Jesus Himself testified that a prophet has no honor in his own country.
2b042d009c	When He arrived in Galilee, the Galileans welcomed Him. They had seen all that He had done in Jerusalem at the Passover Feast, for they had been there, too.
2b042e0091	Therefore He came back to Cana of Galilee, where He had made the water wine. There was a certain royal official, whose son was sick at Capernaum.
2b042f0098	When he heard that Jesus had come out of Judea into Galilee, he went to Him and begged Him to come down and heal his son, who was at the point of death.
2b04300056	Jesus told him, “Unless you people see signs and wonders, you will never believe.”
2b0431004a	The royal official said to Him, “Sir, come down before my child dies!”
2b0432007e	Jesus told him, “Go in peace. Your son lives.” So the man believed the words that Jesus spoke to him, and he went his way.
2b0433005a	As he was still going down the road, his servants met him, saying that his son was living.
2b0434007f	So he asked them the hour when he began to recover, and they told him, “Yesterday at the seventh hour, the fever left him.”
2b04350090	The father realized that it was at that hour that Jesus told him, “Your son lives,” and he himself believed, along with his whole household.
2b04360057	This was the second sign that Jesus did, when He had come from out of Judea to Galilee.
2b0501004a	After this, there was a feast of the Jews, and Jesus went up to Jerusalem.
2b05020084	Near the Sheep Gate in Jerusalem, there is a pool, which is called Bethesda in Hebrew. It’s surrounded by five covered colonnades.
2b0503006e	In these lay a great multitude of sick people, blind, lame, or paralyzed, waiting for the moving of the water,
2b050400be	for an angel went down from time to time into the pool and stirred up the water. Whoever stepped in first, after the stirring of the water, was made well of whatever disease that person had.
2b05050040	A certain man was there who had an infirmity thirty-eight years.
2b05060088	When Jesus saw him lying there, and knew that he had already been sick for a long time, He asked him, “Do you want to be made well?”
2b0507009b	The sick man answered, “Sir, I have no one to put me into the pool when the water is stirred up, but while I’m coming, another steps down before me.”
2b0508003b	Jesus told him, “Stand up, pick up your mat, and walk.”
2b0509005d	Immediately, the man was made well, took up his mat, and walked. That was on the Sabbath day.
2b050a007c	Therefore the Jews were telling him who was cured, “It’s the Sabbath, and it isn’t legal for you to carry your mat.”
2b050b0055	He answered them, “He who made me well told me, ‘Take up your mat and walk.’”
2b050c004b	Then they asked him, “Who told you to ‘Take up your mat and walk’?”
2b050d0063	The man who had been healed didn’t know who it was, because Jesus had disappeared into the crowd.
2b050e0092	Later, Jesus found him in the temple and told him, “See, you have been made well! Don’t sin any more, so that nothing worse happens to you.”
2b050f004d	The man went away, and told the Jews that it was Jesus who had made him well.
2b05100075	For this reason, the Jews persecuted Jesus, and sought to kill Him, because He was doing these things on the Sabbath.
2b0511004c	Jesus answered them, “My Father is still working, so I am working, too.”
2b051200ac	Because of this, the Jews tried all the harder to kill Him. Not only was He breaking the Sabbath, but He was even calling God His own Father, making Himself equal with God.
2b051300a4	Then Jesus answered, “Most assuredly, I tell you, the Son can do nothing of Himself, unless He sees the Father do it, for whatever He does, the Son does likewise.
2b0514008d	The Father loves the Son, and shows Him everything that He Himself does. He will show Him even greater works than these, that you may marvel.
2b05150066	As the Father raises the dead and gives life to them, even so the Son gives life to whoever He wishes.
2b05160044	The Father judges no one, but has committed all judgment to the Son,
2b05170081	that all may honor the Son just as they honor the Father. He who doesn’t honor the Son doesn’t honor the Father who sent Him.
2b051800b7	“Most assuredly, I tell you, the person who hears my words and believes in Him who sent me has everlasting life, and won’t come into judgment, but has passed from death into life.
2b0519008b	Most assuredly, I tell you, the time is coming, and now is, when the dead will hear the voice of God’s Son, and those who hear will live.
2b051a005e	For just as the Father has life in Himself, so He has granted the Son to have life in Himself,
2b051b004e	and has given Him authority to execute judgment, because He is the Son of Man.
2b051c0065	Don’t marvel at this, for the time is coming in which all who are in the graves will hear His voice
2b051d008a	and come out — those who have done good, to the resurrection of life, and those who have done evil, to the resurrection of condemnation.
2b051e0099	I can do nothing by myself. As I hear, I judge, and my judgment is righteous, because I don’t seek my own will, but the will of the Father who sent me.
2b051f0039	“If I testify about myself, my testimony isn’t valid.
2b0520005d	There is another who testifies on my behalf, and I know that his testimony about me is valid.
2b05210039	You have sent to John, and he has testified to the truth.
2b05220050	Not that I accept human testimony, but I tell you this so that you may be saved.
2b0523005f	John was the burning and shining lamp, and you were willing for a time to rejoice in his light.
2b052400aa	I have a greater testimony than John’s. The works that the Father has given me to finish — the very works that I do — testify about me, that the Father has sent me.
2b05250079	The Father Himself, who sent me, has testified about me. You have neither heard His voice at any time, nor seen His form.
2b0526005c	You don’t have His words dwelling in you, because you don’t believe the One who He sent.
2b05270063	You search the Scriptures, for in them you think you have eternal life, and these testify about me.
2b0528002a	Yet you refuse to come to me to have life.
2b05290023	“I don’t accept glory from men,
2b052a0049	but I know you. I know that you don’t have God’s sincere love in you.
2b052b007d	I have come in my Father’s name, and you don’t accept me, but if someone else comes in his own name, you will accept him.
2b052c0074	How can you believe when you accept glory from one another, and don’t seek the glory that comes from the only God?
2b052d0070	“Don’t think that I will accuse you before the Father. Your accuser is Moses, who you have set your hope on.
2b052e0043	If you believed Moses, you would believe me, for he wrote about me.
2b052f0049	If you don’t believe what he wrote, how will you believe what I say?”
2b06010060	After this, Jesus went to the other side of the Sea of Galilee, also called the Sea of Tiberias.
2b06020076	A great multitude was following Him, because they were seeing the signs that He was performing on those who were sick.
2b06030042	Jesus went up on a mountain side, and sat down with His disciples.
2b06040023	The Jewish Passover Feast was near.
2b0605008b	Jesus looked up, and saw that a great multitude was coming to Him, so He asked Philip, “Where can we buy bread, so that these may eat?”
2b06060037	He said this to test him, for He knew what He would do.
2b06070075	Philip answered, “Two hundred denarii worth of bread wouldn’t even be enough for everyone to receive a little!”
2b06080048	One of Jesus’ disciples, Andrew, Simon Peter’s brother, said to Him,
2b06090069	“There is a boy here who has five barley loaves and two fish, but what is that among so many people?”
2b060a0080	Jesus said, “Have the people sit down.” There was plenty of grass there, so the men sat down, in number about five thousand.
2b060b00ba	Jesus took the loaves, and when He had given thanks, He distributed them to the disciples, and the disciples to those sitting down. He did likewise with the fish, as much as they wanted.
2b060c0071	When they were filled, He told His disciples, “Gather up the leftover pieces, so that nothing may be wasted.”
2b060d0092	Therefore they gathered them up, and filled twelve baskets with the pieces of the five barley loaves, which were left over by those who had eaten.
2b060e007e	When the people saw the sign which He had performed, they said, “This is truly the Prophet who is to come into the world.”
2b060f0082	When Jesus perceived that they meant to come and take Him by force to make Him king, He withdrew again to the mountain by Himself.
2b0610003b	When evening came, Jesus’ disciples went down to the sea,
2b0611006f	got into the boat, and went over the sea toward Capernaum. It was already dark, and Jesus had not come to them.
2b0612002f	The sea arose because a great wind was blowing.
2b06130089	When they had rowed about twenty-five or thirty stadia, they saw Jesus walking on the sea and drawing near the boat. They were terrified,
2b06140035	but He told them, “It’s me. Don’t be afraid.”
2b0615006b	Then they willingly took Him into the boat, and immediately the boat was at the land where they were going.
2b061600e3	The next day, the crowd that had stayed on the other side of the sea saw that there had been only one boat there. They also saw that Jesus had not gone in the boat with His disciples, but that His disciples had gone away alone.
2b0617007f	Then some other boats from Tiberias landed near the place where the people had eaten the bread after the Lord had given thanks.
2b06180084	When the crowd saw that neither Jesus nor His disciples were there, they got into the boats and went to Capernaum looking for Jesus.
2b06190066	When they found Him on the other side of the sea, they asked Him, “Rabbi, when did you come here?”
2b061a0095	Jesus answered, “Most assuredly, I tell you, you are looking for me, not because you saw the signs, but because you ate the loaves and were filled.
2b061b00ad	Don’t labor for perishable food, but for the food which endures to everlasting life, which the Son of Man will give you, because God the Father has set His seal on Him.”
2b061c003f	Then they asked Him, “What must we do to do God’s works?”
2b061d0059	Jesus answered them, “This is God’s work, that you believe in Him who He has sent.”
2b061e0078	Therefore they asked Him, “What sign will You perform then, that we may see it and believe You? What work will You do?
2b061f0071	Our ancestors ate the manna in the wilderness. As it’s written, ‘He gave them bread from Heaven to eat.’”
2b06200092	Jesus told them, “Most assuredly, I tell you, Moses didn’t give you the bread from Heaven, but my Father gives you the true bread from Heaven.
2b06210052	For God’s bread is He who comes down from Heaven and gives life to the world.”
2b0622003e	Then they said to Him, “Lord, give us this bread forever.”
2b06230087	Jesus told them, “I am the bread of life. Whoever comes to me will never be hungry, and whoever believes in me will never be thirsty.
2b06240043	As I told you, you have seen me, and yet you still don’t believe.
2b0625005e	All that the Father gives me will come to me, and whoever comes to me I will never drive away.
2b06260055	I have come down from Heaven, not to do my own will, but the will of Him who sent me.
2b06270085	This is the will of the Father who sent me, that of all He has given me I should lose none, but should raise them up at the last day.
2b062800a4	This is also the will of Him who sent me, that everyone who sees the Son and believes in Him may have everlasting life; and I will raise them up at the last day.”
2b06290066	The Jews then grumbled about Jesus, because He said, “I am the bread which came down from Heaven.”
2b062a0095	They were saying, “Isn’t this Jesus, the son of Joseph, whose father and mother we know? How can He claim, ‘I have come down from Heaven’?”
2b062b0033	Jesus answered, “Stop grumbling among yourselves.
2b062c006e	No one can come to me unless drawn by the Father who sent me, and I will raise that person up on the last day.
2b062d0085	It’s written in the prophets, ‘They will all be taught by God.’ Everyone who has heard and learned from the Father comes to me.
2b062e0052	Nobody has seen the Father except the one who is from God. He has seen the Father.
2b062f004d	Most assuredly, I tell you, everyone who believes in me has everlasting life.
2b06300017	I am the bread of life.
2b0631003c	Your forefathers ate manna in the wilderness, but they died.
2b06320056	This is the bread which comes down from Heaven, so that one may eat of it and not die.
2b063300a4	I am the living bread that came down from Heaven. Whoever eats of this bread will live forever. The bread that I will give for the life of the world is my flesh.”
2b06340064	Therefore the Jews argued among themselves, saying, “How can this Man give us His flesh to eat?”
2b0635008e	Then Jesus told them, “Most assuredly, I tell you, unless you eat the flesh of the Son of Man, and drink His blood, you have no life in you.
2b0636006c	Whoever eats my flesh and drinks my blood has eternal life, and I will raise that person up at the last day,
2b06370036	for my flesh is true food, and my blood is true drink.
2b0638004c	One who eats my flesh and drinks my blood lives in me, and I in that person.
2b06390078	Just as the living Father sent me, and I live because of the Father, so the one who feeds on me will live because of me.
2b063a0094	This is the bread which came down from Heaven, not like the manna your forefathers ate, and died. A person who eats this bread will live forever.”
2b063b003a	He said this while teaching in the synagogue at Capernaum.
2b063c0074	Therefore when many of His disciples heard this, they said, “This is a hard teaching. Who can stand to hear it?”
2b063d0061	Jesus, aware that his disciples were complaining about this, asked them, “Does this offend you?
2b063e003d	What if you saw the Son of Man ascend to where He was before?
2b063f0064	The Spirit gives life. The flesh profits nothing. The words that I speak to you are spirit and life.
2b0640007f	Yet there are some of you who don’t believe.” Jesus knew from the beginning who didn’t believe, and who would betray Him.
2b06410075	He said, “For this reason I have told you, that no one can come to me, unless it has been granted by the Father.”
2b06420057	Because of this, many of His disciples turned back and didn’t walk with him any more.
2b0643003f	Then Jesus asked the twelve, “Do you want to go away, too?”
2b06440055	Simon Peter answered Him, “Lord, who will we go to? You have words of eternal life.
2b06450057	We have come to believe and know that You are the Christ, the Son of the living God.”
2b06460057	Jesus answered, “Didn’t I choose you, the twelve, yet one of you is a slanderer?”
2b06470065	He was speaking of Judas Iscariot, Simon’s son, for he, one of the twelve, was going to betray him.
2b07010078	After these things, Jesus walked in Galilee, for He didn’t want to walk in Judea, because the Jews sought to kill Him.
2b0702002e	Now the Jews’ Feast of Tabernacles was near.
2b07030082	Therefore His brothers told Him, “Leave here and go to Judea, so that Your disciples will see the works that You are doing, too.
2b07040078	Nobody does anything in secret while he seeks to be known openly. If You do these things, show Yourself to the world.”
2b0705002e	For even His brothers didn’t believe in Him.
2b07060052	Then Jesus told them, “My time hasn’t yet come, but your time is always right.
2b07070056	The world can’t hate you, but it hates me because I testify that its works are evil.
2b0708006e	Go up to this feast yourselves. I’m not going up to this feast, yet, for my time hasn’t yet fully come.”
2b07090037	Having said these things to them, He stayed in Galilee.
2b070a0065	When His brothers had gone up to the feast, however, Jesus also went up, not publicly, but in secret.
2b070b004a	The Jews were looking for Him at the feast, and saying, “Where is He?”
2b070c0086	There was much complaining among the people about Him. Some said, “He is good,” but others said, “No, He deceives the people.”
2b070d0030	No one spoke openly of Him for fear of the Jews.
2b070e0050	About the middle of the feast, Jesus went up into the temple and began to teach.
2b070f005c	The Jews marveled, saying, “How does this man know letters, having never been educated?”
2b07100041	Jesus answered, “My teaching isn’t mine, but His who sent me.
2b0711005f	Anyone who wants to do His will shall know if the teaching is from God or if I speak on my own.
2b07120090	The one who speaks on his own seeks his own glory; but He who seeks the glory of the One who sent Him is true, and no unrighteousness is in Him.
2b07130061	Didn’t Moses give you the Law, yet none of you keeps the Law? Why are you trying to kill me?”
2b07140047	The people answered, “You have a demon. Who is trying to kill You?”
2b07150036	Jesus answered, “I did one work, and you all marvel.
2b0716007c	Moses gave you circumcision (not that it’s from Moses, but from the forefathers), and you circumcise a boy on the Sabbath.
2b071700a3	If a boy gets circumcised on the Sabbath, so that the Law of Moses should not be broken, are you angry with me because I made a man completely well on the Sabbath?
2b07180042	Don’t judge by appearance, but judge with righteous judgment.”
2b07190056	Some of the people of Jerusalem said, “Isn’t this the man they are trying to kill?
2b071a0083	Look! He is speaking boldly, and they say nothing to Him. The rulers haven’t really concluded that this is the Christ, have they?
2b071b0067	Still, we know where this man is from, but when the Christ comes, no one will know where He is from.”
2b071c00b5	Then Jesus cried out, as He taught in the temple, “You know me, and you know where I’m from. I haven’t come of my own accord, but He who sent me is true, who you don’t know.
2b071d0035	I know Him, because I am from Him, and He sent me.”
2b071e0071	Because of this, they were seeking to seize Him, but no one laid hands on Him, because His time had not yet come.
2b071f0076	Many of the people believed in Him, saying, “When the Christ comes, will He do more signs than this man has done?”
2b07200085	The Pharisees heard the crowd murmuring these things about Jesus, and the Pharisees and the chief priests sent officers to seize Him.
2b0721006a	Then Jesus told them, “I will be with you a little while longer, and then I am going to Him who sent me.
2b0722004b	You will look for me, and not find me, and where I am, you can’t come.”
2b072300c3	Then the Jews said among themselves, “Where does He intend to go that we won’t be able to find Him? He doesn’t intend to go to the dispersion among the Greeks and teach the Greeks, does He?
2b0724006e	What does He mean by saying, ‘You will look for me, and not find me, and where I am, you can’t come’?”
2b0725008a	On the last and greatest day of the feast, Jesus stood and declared loudly, “If anyone is thirsty, let that person come to me and drink.
2b07260062	Rivers of living water will flow from within whoever believes in me, as the Scripture has said.”
2b07270092	He said this about the Spirit, who those believing in Him would receive. The Holy Spirit wasn’t yet given, because Jesus wasn’t yet glorified.
2b0728005d	When they heard these words, many in the crowd were saying, “This is really the prophet.”
2b07290083	Others were saying, “This is the Christ,” but some were saying, “Surely the Christ isn’t going to come from Galilee, is He?
2b072a007c	Hasn’t the Scripture said that the Christ comes from the seed of David and from the town of Bethlehem, where David was?”
2b072b0039	So there was a division among the crowd because of Jesus.
2b072c003f	Some of them wanted to seize Him, but no one laid hands on Him.
2b072d0075	When the officers went back to the chief priests and Pharisees, they asked them, “Why didn’t you bring Him in?”
2b072e003d	The officers answered, “No man ever spoke like this man!”
2b072f004b	Then the Pharisees answered, “You haven’t been deceived, too, have you?
2b07300034	Have any of the rulers or Pharisees believed in Him?
